Curriculum,Degree Name,,,,,,,,
Insitution,Univserity of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Programming I,CSC,110,,,,4,,CS 1
2,Introduction to Computer Programming II,CSC,120,1,,,4,,CS 2
3,Discrete Mathematics for Computer Scince I,CSC,144,,,,3,,
4,Software Development ,CSC,210,2,,,4,,
5,Discrete Mathematics For Computer Scince II,CSC,244,2;3,,,3,,Discrete
6,Computer Organization,CSC,252,4,,,3,,
7,Object-Oriented Programming and Design,CSC,335,4,,,3,,OOD
8,Analysis of Discrete Structures,CSC,345,4;5,,,3,,
9,Systems Programming and Unix,CSC,352,4;6,,,3,,
10,Principles of Data Scince,CSC,380,4;5,,,3,,
11,Human Computer Interactin (Paradigms Elective),CSC,343,4;5,,,3,,
12,Algorithms  (Theory & Writing Elective),CSC,445,4,,,3,,
13,Principles of Operating Systems (Systems Elective),CSC,452,6;8;9,,,3,,
14,Software Development in C++ (300/400 CSC Elective),CSC,382,9,,,3,,
15,Computer Networking (400 CSC Elective 1),CSC,425,6;9,,,3,,
16,Data Visualization (400 CSC Elective 2),CSC,444,8;7,,,3,,
17,Composition,ENGL,101,,,,3,,
18,Second Language 1st semster,XX,XX,,,,4,,
19,Second Language 2nd semester,XX,XX,,,,4,,
20,Gen Ed Intro,UNIV,101,,,,1,,
21,Gen Ed Capstone,UNIV,301,,,,1,,
22,Gen Ed Exploring Perspectives (Artist course),XX,XX,,,,3,,
23,Gen Ed Exploring Perspectives (Humanist course),XX,XX,,,,3,,
24,Gen Ed Exploring Perspectives (Natural Scientist course),XX,XX,,,,3,,
25,Gen Ed Exploring Perspectives (Social Scientist course),XX,XX,,,,3,,
26,Gen Ed Building Connections,XX,XX,,,,3,,
27,Gen Ed Building Connections,XX,XX,,,,3,,
28,Gen Ed Building Connections,XX,XX,,,,3,,
29,Calculus I (Supporting Math),Math,125,,,,3,,Calc 1
30,Chemistry I (Supporting Scince Elective),CHEM,151,,,,4,,
31,Physics I (Supporting Scince Elective),PHYS,102,,,,4,,
32,Calculus II (Supporting Math),Math,129,29,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,3,,
