Curriculum,University_of_Arizona_CS,,,,,,,,,
Institution,"Univserity of Arizona",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Computer Programming I","CSC","110",,,,4,"","",20.0,14,6.0,0
2,"Introduction to Computer Programming II","CSC","120","1",,,4,"","",19.0,13,6.0,88
3,"Discrete Mathematics for Computer Scince I","CSC","144",,,,3,"","",10.0,6,4.0,0
4,"Software Development ","CSC","210","2",,,4,"","",17.0,11,6.0,70
5,"Discrete Mathematics For Computer Scince II","CSC","244","2;3",,,3,"","",10.0,5,5.0,32
6,"Computer Organization","CSC","252","4",,,3,"","",10.0,4,6.0,28
7,"Object-Oriented Programming and Design","CSC","335","4",,,3,"","",6.0,1,5.0,5
8,"Analysis of Discrete Structures","CSC","345","5;4",,,3,"","",7.0,2,5.0,28
9,"Systems Programming and Unix","CSC","352","4;6",,,3,"","",9.0,3,6.0,33
10,"Principles of Data Scince","CSC","380","5;4",,,3,"","",4.0,0,4.0,0
11,"Human Computer Interactin (Paradigms Elective)","CSC","343","5;4",,,3,"","",4.0,0,4.0,0
12,"Algorithms  (Theory & Writing Elective)","CSC","445","4",,,3,"","",4.0,0,4.0,0
13,"Principles of Operating Systems (Systems Elective)","CSC","452","6;9;8",,,3,"","",6.0,0,6.0,0
14,"Software Development in C++ (300/400 CSC Elective)","CSC","382","9",,,3,"","",6.0,0,6.0,0
15,"Computer Networking (400 CSC Elective 1)","CSC","425","6;9",,,3,"","",6.0,0,6.0,0
16,"Data Visualization (400 CSC Elective 2)","CSC","444","7;8",,,3,"","",5.0,0,5.0,0
17,"Composition","ENGL","101",,,,3,"","",1.0,0,1.0,0
18,"Second Language 1st semster","XX","XX",,,,4,"","",1.0,0,1.0,0
19,"Second Language 2nd semester","XX","XX",,,,4,"","",1.0,0,1.0,0
20,"Gen Ed Intro","UNIV","101",,,,1,"","",1.0,0,1.0,0
21,"Gen Ed Capstone","UNIV","301",,,,1,"","",1.0,0,1.0,0
22,"Gen Ed Exploring Perspectives (Artist course)","XX","XX",,,,3,"","",1.0,0,1.0,0
23,"Gen Ed Exploring Perspectives (Humanist course)","XX","XX",,,,3,"","",1.0,0,1.0,0
24,"Gen Ed Exploring Perspectives (Natural Scientist course)","XX","XX",,,,3,"","",1.0,0,1.0,0
25,"Gen Ed Exploring Perspectives (Social Scientist course)","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"Gen Ed Building Connections","XX","XX",,,,3,"","",1.0,0,1.0,0
27,"Gen Ed Building Connections","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"Gen Ed Building Connections","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"Calculus I (Supporting Math)","Math","125",,,,3,"","",3.0,1,2.0,0
30,"Chemistry I (Supporting Scince Elective)","CHEM","151",,,,4,"","",1.0,0,1.0,0
31,"Physics I (Supporting Scince Elective)","PHYS","102",,,,4,"","",1.0,0,1.0,0
32,"Calculus II (Supporting Math)","Math","129","29",,,3,"","",2.0,0,2.0,0
33,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
