Curriculum,Computer Science BS,,,,,,,,
Insitution,Brigham Young University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Science,CS,111,23,,,3,,
2,Introduction to Computer Systems,CS,224,3,,,3,,
3,Data Structures and Algorithms,CS,235,1,,,3,,
4,Discrete Structures,CS,236,3,,,3,,
5,Advanced Programming Concepts,CS,240,3;4,,,4,,
6,Introduction to Computational Theory,CS,252,4,,,3,,
7,Algorithm Design and Analysis,CS,312,5,,,3,,
8,Systems Programming,CS,324,2,,,3,,
9,Software Design,CS,340,5,,,3,,
10,Ethics and Computers in Society,CS,404,5;14,,,2,,
11,Calculus 1,MATH,112,,,,4,,
12,Calculus 2,MATH,113,11,,,4,,
13,Introduction to Newtonian Mechanics,PHSCS,121,10,,,3,,
14,Technical Communication,WRTG,316,24,,,3,,
15,CS Elective List,CS,260,1,,,3,,
16,CS Elective List,CS,330,5,,,3,,
17,CS Elective List,CS,356,5,,,3,,
18,CS Elective List,CS,428,9,,,3,,
19,CS Elective List,CS,453,5,,,3,,
20,CS Elective List,CS,470,7;25,,,3,,
21,CS Elective List,CS,472,7;25,,,3,,
22,CS Elective List,CS,329,5,,,3,,
23,How to Program,CS,110,,,,3,,
24,First Year Wriging,WRTG,100,,,,3,,
25,Principles of Statistics,STAT,121,,,,3,,
26,Teachings and Doctrine of The Book of Mormon,REL,275,,,,2,,
27,Jesus Christ and the Everlasting Gospel,REL,250,,,,2,,
28,Foundation of Restoration,REL,225,,,,2,,
29,The Eternal Family,REL,200,,,,2,,
30,American Heritage,GEN_ED,101,,,,3,,
31,Global and Culture,GEN_ED,102,,,,3,,
32,Civilization 2 I,CIV,101,,,,3,,
33,Civilization Elective 2,CIV,102,,,,3,,
34,Arts I,ARTS,101,,,,3,,
35,Letters I,GEN_ED,103,,,,3,,
36,Bio Science,BIO,101,,,,3,,
37,Social Science ,GEN_ED,105,,,,3,,
38,Religion Electives,ELEC,105,,,,3,,
39,Religion Electives,ELEC,106,,,,3,,
40,Elective,ELEC,107,,,,2,,
41,American Heritage 2,GEN_ED,110,,,,3,,
