Curriculum,Computer Science,,,,,,,,
Insitution,Barnard,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,,,,,,,,
2,Calculus III,,,,,,,,
3,Intro to CS and Programming in Java,COMS,W1004,,,,3,,
4,Data Structures,COMS,W3134,3,,,3,,
5,Advanced Programming,COMS,W3157,4,,,4,,
6,Discrete Mathematics,COMS,W3203,3,,,3,,
7,Computer Science Theory,COMS,W3261,6,4,,3,,
8,Fundamentals of Computer Systems,CSEE,W3827,3,,,3,,
9,Linear Algebra,MATH,2010,,,,,,
10,Analysis of Algorithms (Foundations of Computer Science Track),COMS,W4231,,,,,,
11,Introduction to Computational Complexity (Foundations of Computer Science Track),COMS,W4236,,,,,,
12,Graph Theory (Foundation of Computer Sciece Elective),COMS,W4203,,,,,,
13,Analysis of Algorithms II (Foundations of Computer Science Elective),COMS,E6232,,,,,,
14,Programming Languages and Translators (Breath CS Elective),COMS,W4115,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
