Curriculum,Computer Science,,,,,,,,
Insitution,CUNY Brooklyn,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,English Composition I,ENGL,1010,,,,3,,
2,Precalculus Mathematics,MATH,1011,,,,3,,
3,US Experince in its Diversity,XX,XX,,,,3,,
4,Introduction to Programming Using Java,CICS,1115,,,,4,,
5,General Elective,XX,XX,,,,3,,
6,English Composition II,ENGL,1012,1,,,3,,
7,Life & Physical Sciences,XX,XX,,,,3,,
8,World Cultures & Global Issues,XX,XX,,,,3,,
9,Introduction to Modern Programming Techniques,CICS,3115,4,,,4,,
10,Calculus I,MATH,1201,2,,,4,,
11,Individual & Society,XX,XX,,,,3,,
12,Creative Expression,XX,XX,,,,3,,
13,Data Structures,CICS,3130,9,,,4,,
14,Calculus II,MATH,1206,10,,,4,,
15,Introduction to Discrete Structures,CICS,2210,4;2,,,3,,
16,Scientific World,XX,XX,,,,3,,
17,Creative Expression,XX,XX,,,,3,,
18,Elementary Probaility and Statistics,MATH,2501,14,,,3,,
19,Principles of Computer Architecture,CICS,3310,4;15,,,3,,
20,General Elective,XX,XX,,,,3,,
21,College Option,XX,XX,,,,3,,
22,College Option,XX,XX,,,,3,,
23,Computers and Ethics,CICS,2820W,4;6,,,3,,
24,Programming Paradigms in C++,CICS,3142,4;13;19,,,3,,
25,Analysis of Algorithms,CICS,3220,15;13;10,,,3,,
26,College Option,XX,XX,,,,3,,
27,College Option,XX,XX,,,,3,,
28,Object Oriented Programming (CS Elective),CICS,3150,13,,,3,,
29,Operating Systems,CICS,3320,13;19,,,3,,
30,General Elective,XX,XX,,,,3,,
31,Independent and Group Projects I,CICS,4900,13;28,,,3,,
32,Human Computer Interaction (CS Elective),CICS,3650,9,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,Design and Implementaion of Large Scale Web Applications,CICS,3140,13;4,,,3,,
36,Compiler Construction (CS Elective),CICS,3390,4;15;13,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,1,,
