Curriculum,Computer Science,,,,,,,,
Insitution,CUNY College of Technonogy,,,,,,,,
Degree Type,AS,,,,,,,,
System Type,semster,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,English Composition I,ENG,1101,,,,3,,
2,English Composition II,ENG,1121,1,,,3,,
3,Life and Phsyical Sciences,XX,XX,,,,5,,
4,World Culture and Global Issues,XX,XX,,,,3,,
5,Us Experince in its Diversity,XX,XX,,,,3,,
6,Individual and Society,XX,XX,,,,3,,
7,Creative Experession,XX,XX,,,,3,,
8,Flexible Common Core Course,XX,XX,,,,3,,
9,Calculus I,MAT,1475,,,,4,,
10,Introduction to Lineal Algebra,MAT,2580,,12,,3,,
11,Statistics with Probability,MAT,1372,9,,,3,,
12,Calculus II,MAT,1575,9,,,4,,
13,Discrete Structures and Algorithms I,MAT,2440,9;15,,,3,,
14,Discrete Structures and Algorithms II,MAT,2540,13,,,3,,
15,Introductory C++ Programming Language Part I,CST,2403,17;9,,,3,,
16,C++ Programming Part II,CST,3503,15,,,3,,
17,Problem Solving with Computer Programming,CST,1101,,,,3,,
18,Object Oriented Programming (Program Elective),CST,3603,16,,,3,,
19,Data Structures (Program Elective),CST,3650,16,,,3,,
