Curriculum,Computer Science,,,,,,,,
Insitution,CUNY Hunter College,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Software Analysis and Design 1,CSCI,13500,30;13,,,4,,
2,Discrete Structures,CSCI,15000,13,,,4,,
3,Computer Architecture,CSCI,16000,30;2,,,3,,
4,Software Analysis and Design 2,CSCI,23500,1;2;13,,,3,,
5,Computer Theory 1,CSCI,26500,3;13,,,3,,
6,Software Analysis and Design 3,CSCI,33500,4;14,,,3,,
7,Operating Systems,CSCI,34000,4;16;14;31,,,3,,
8,Capstone Course in Computer Science,CSCI,49900,6;7,,,4,,
9,Machine Learning (CS Elective),CSCI,35300,6;16,,,3,,
10,Into to APIs (CS Elective),CSCI,39537,4,,,3,,
11,Advanced Discrete Structures (CS Elective),CSCI,39562,2,,,3,,
12,Practical Web Dev ](CS Elective),CSCI,39549,4,,,3,,
13,Calculus 1,MATH,15000,,,,4,,
14,Calculus 2,MATH,15500,13,,,4,,
15,Matrix Algebra,MATH,16000,,,,3,,
16,Applied Statistics,STAT,21300,,,,3,,
17,English Composition 1,ENGL,120,,,,3,,
18,English Composition 2,ENGL,XX,17,,,3,,
19,Life and Physical Sciences,XX,XX,,,,3,,
20,Scientific World,XX,XX,,,,3,,
21,Creative Expression,XX,XX,,,,3,,
22,US Experince in Its Diversity,XX,XX,,,,3,,
23,World Cultures and Global Issues,XX,XX,,,,3,,
24,Humanities,XX,XX,,,,3,,
25,Social Science,XX,XX,,,,3,,
26,Elementary Language Lvl 1,XX,XX,,,,3,,
27,Elementary Language Lvl 2,XX,XX,26,,,3,,
28,Intermediate Language Lvl 3,XX,XX,27,,,3,,
29,Intermediate Language Lvl 4,XX,XX,28,,,3,,
30,Introduction to Computer Science,CSCI,12700,,,,3,,
31,Computer Architecture 2,CSCI,26000,1;3;13,,,3,,
32,General Elective,XX,XX,,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,1,,
