Curriculum,CUNY_Hunter_CS,,,,,,,,,
Institution,"CUNY Hunter College",,,,,,,,,
Degree Type,"BA",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Software Analysis and Design 1","CSCI","13500","13;30",,,4,"","",13.0,8,5.0,56
2,"Discrete Structures","CSCI","15000","13",,,4,"","",17.0,11,6.0,36
3,"Computer Architecture","CSCI","16000","2;30",,,3,"","",10.0,4,6.0,18
4,"Software Analysis and Design 2","CSCI","23500","13;2;1",,,3,"","",11.0,6,5.0,87
5,"Computer Theory 1","CSCI","26500","13;3",,,3,"","",4.0,0,4.0,0
6,"Software Analysis and Design 3","CSCI","33500","4;14",,,3,"","",7.0,2,5.0,46
7,"Operating Systems","CSCI","34000","4;16;31;14",,,3,"","",7.0,1,6.0,51
8,"Capstone Course in Computer Science","CSCI","49900","6;7",,,4,"","",6.0,0,6.0,0
9,"Machine Learning (CS Elective)","CSCI","35300","6;16",,,3,"","",5.0,0,5.0,0
10,"Into to APIs (CS Elective)","CSCI","39537","4",,,3,"","",4.0,0,4.0,0
11,"Advanced Discrete Structures (CS Elective)","CSCI","39562","2",,,3,"","",3.0,0,3.0,0
12,"Practical Web Dev ](CS Elective)","CSCI","39549","4",,,3,"","",4.0,0,4.0,0
13,"Calculus 1","MATH","15000",,,,4,"","",20.0,14,6.0,0
14,"Calculus 2","MATH","15500","13",,,4,"","",8.0,4,4.0,12
15,"Matrix Algebra","MATH","16000",,,,3,"","",1.0,0,1.0,0
16,"Applied Statistics","STAT","21300",,,,3,"","",6.0,3,3.0,0
17,"English Composition 1","ENGL","120",,,,3,"","",3.0,1,2.0,0
18,"English Composition 2","ENGL","XX","17",,,3,"","",2.0,0,2.0,0
19,"Life and Physical Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
20,"Scientific World","XX","XX",,,,3,"","",1.0,0,1.0,0
21,"Creative Expression","XX","XX",,,,3,"","",1.0,0,1.0,0
22,"US Experince in Its Diversity","XX","XX",,,,3,"","",1.0,0,1.0,0
23,"World Cultures and Global Issues","XX","XX",,,,3,"","",1.0,0,1.0,0
24,"Humanities","XX","XX",,,,3,"","",1.0,0,1.0,0
25,"Social Science","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"Elementary Language Lvl 1","XX","XX",,,,3,"","",7.0,3,4.0,0
27,"Elementary Language Lvl 2","XX","XX","26",,,3,"","",6.0,2,4.0,4
28,"Intermediate Language Lvl 3","XX","XX","27",,,3,"","",5.0,1,4.0,4
29,"Intermediate Language Lvl 4","XX","XX","28",,,3,"","",4.0,0,4.0,0
30,"Introduction to Computer Science","CSCI","12700",,,,3,"","",16.0,11,5.0,0
31,"Computer Architecture 2","CSCI","26000","13;3;1",,,3,"","",8.0,2,6.0,25
32,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
