Curriculum,Computer Science,,,,,,,,
Insitution,CUNY Lehman,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semster,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,MAT,175,,,17,4,,
2,Calculus II,MAT,176,1,,18,4,,
3,Elements of Linear Algebra,MAT,313,2,,,4,,
4,Probability and Statistics (Math Elective),MAT,330,2,,,4,,
5,Programming Methods I,CMP,167,1,,,3,,
6,Programming Methods II,CMP,168,5,,,4,,
7,Elementary Discrete Sctrutures & Applications to Computer Science,CMP,232,19,,,4,,
8,Computer Organization,CMP,334,7,,,4,,
9,Data Structures and Algorithms I,CMP,338,7;6,,,4,,
10,Introduction to Networks,CMP,405,8;9,,,3,,
11,Database Systems,CMP,420,9,,,4,,
12,Operating Systems,CMP,426,8;9,,,4,,
13,Programming Languages (CS Elective),CMP,339,8;9,,,4,,
14,Computability Theory (CS Elective),CMP,416,7;6,,,4,,
15,Full Stack Development (CS Elective),CMP,343,8,,,4,,
16,Object Oriented Techniques (CS Elective),CMP,346,6,,,4,,
17,Calculus I Laboratory,MAT,155,,,,1,,
18,Calculus II Laboratory,MAT,156,,,,1,,
19,Precalculus,MAT,172,,,,4,,
20,English Composition I,ENG,111,,,,3,,
21,English Composition II,ENG,121,20,,,3,,
22,Human Evolutionary Biology (General Ed),ANT,120,,,,3,,
23,Introduction to the Universe (General Ed),ANT,102,,,,4,,
24,Human Biology of Systems (General Ed),BIO,173,,,,3,,
25,Elements of Chemisty I (General Ed),CHE,137,,,,3,,
26,Conceptual Physics (General Ed),PHY,131,,,,3,,
27,Sound Speech and Music (General Ed),PHY,141,,,,3,,
28,Energy and the Environment (General Ed),PHY,151,,,,3,,
29,General Ed Forgin Language,XX,XX,,,,3,,
30,General Ed Forgin Language,XX,XX,,,,3,,
31,Flexible Core World Cultures,XX,XX,,,,3,,
32,Flexible Core Diversity,XX,XX,,,,3,,
33,Flexible Core Creative Expression,XX,XX,,,,3,,
34,Flexible Core Individual and Society,XX,XX,,,,3,,
35,Flexible Core Scientific World,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
