Curriculum,Computer Science,,,,,,,,
Insitution,CUNY Queens College,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semsester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Discrete Math,MATH,120,,,,3,,
2,Calculus,MATH,141,,,,3,,
3,Linear Algebra,MATH,231,2,,,4,,
4,Calculus/Integration,MATH,142,2,,,3,,
5,Calculus-Infinite Series,MATH,143,4,,,3,,
6,Probabilty and Stats,MATH,241,5,,,3,,
7,Intro to Algorithmic Solving,CS,111,,,,3,,
8,OOP in C++,CS,211,7,,,3,,
9,OOP in Java,CS,212,7,,,3,,
10,Discrete Structures,CS,220,7;1;2,,,3,,
11,Computer Organization & Assambly Language,CS,240,7,,,3,,
12,Data Structures,CS,313,8;9;10,,,3,,
13,Theroy of Computation,CS,320,12,,,3,,
14,Computer Architecture,CS,343,11,,,3,,
15,Design and Analysis of Algorithms,CS,323,12,,,3,,
16,Database Systems,CS,331,12,,,3,,
17,Software Engineering,CS,370,12,,,3,,
18,Principles of Programming Languages,CS,316,12;13;11,,,3,,
19,Operating Systems,CS,340,12;11,,,3,,
20,Object Oriented Databases (CS Elective),CS,332,12;16,,,3,,
21,Data Communications (CS Elective),CS,348,14,,,3,,
22,Internet & Web Technologies (CS Elective),CS,355,12,,,3,,
23,Data Mining and Warehousing (CS Elective),CS,334,12;6,,,3,,
24,Artifical Intelligence (CS Elective),CS,363,18,,,3,,
25,Compilers (CS Elective),CS,317,18,,,3,,
26,Information Storage and Retrival (CS Elective),CS,335,12;16,,,3,,
27,College Writng 1,ENG,110,,,,3,,
28,College Writng 2,ENG,XX,27,,,3,,
29,Life and Physical Sciences,XX,XX,,,,3,,
30,Woeld Cultures and Global Issues,XX,XX,,,,3,,
31,US Experience in its Diversity,XX,XX,,,,3,,
32,Creative Expression,XX,XX,,,,3,,
33,Individual and Society,XX,XX,,,,3,,
34,Scientific World,XX,XX,,,,3,,
35,Flexible Core Elective,XX,XX,,,,3,,
36,Flexible Core Elective,XX,XX,,,,3,,
37,Literature Course,XX,XX,,,,3,,
38,Language Course,XX,XX,,,,3,,
39,Science Course,XX,XX,,,,3,,
40,General Elective,XX,XX,,,,2,,
