Curriculum,Cornell_CS_Graphics_Vector,,,,,,,,,
Institution,"Cornell",,,,,,,,,
Degree Type,"BA",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Calculus I","MATH","1110",,,,4,"","",6.0,3,3.0,0
2,"Calculus II","MATH","1120","1",,,4,"","",5.0,2,3.0,6
3,"Linear Algebra","MATH","2210","2",,,4,"","",3.0,0,3.0,0
4,"CS 1","CS","1110",,,,4,"","",17.0,13,4.0,0
5,"CS 2","CS","2110","4",,,3,"","",14.0,10,4.0,23
6,"Discrete Structures","CS","2800","4",,,3,"","",8.0,4,4.0,13
7,"Data Structures and Functional","CS","3110","5;6",,,4,"","",5.0,1,4.0,8
8,"Computer Organization","CS","3410","5",,,4,"","",5.0,1,4.0,4
9,"Operating Systems","CS","4410","8",,,3,"","",4.0,0,4.0,0
10,"Algorithms","CS","4820","6;7",,,4,"","",4.0,0,4.0,0
11,"CS 4000+","CS","4620","5",,,3,"","",5.0,1,4.0,4
12,"CS 4000+","CS","4621",,"11",,2,"","",4.0,0,4.0,0
13,"CS 4000+","CS","3200","2",,,3,"","",3.0,0,3.0,0
14,"CS Project","CS","3152","5",,,4,"","",6.0,2,4.0,8
15,"CS Project Lab","ENGRC","3152",,,"14",1,"","",4.0,0,4.0,0
16,"CS Tech","CS","4670","5;6",,,4,"","",3.0,0,3.0,0
17,"CS Tech","CS","4152","14",,,3,"","",4.0,0,4.0,0
18,"CS Tech","PSYCH","3420",,,,3,"","",1.0,0,1.0,0
19,"Mathematical Foundations for the Information Age","CS","4850","6",,,4,"","",3.0,0,3.0,0
20,"Arts and Lit Elective","ALC-AS","1xxx",,,,3,"","",1.0,0,1.0,0
21,"Bio Elective","BIO-AS","1xxx",,,,4,"","",1.0,0,1.0,0
22,"Ethics and Mind elective","ETM-AS","1xxx",,,,3,"","",1.0,0,1.0,0
23,"Global Citizen Elective","GLC-AS","1xxx",,,,3,"","",1.0,0,1.0,0
24,"Historical Elective","HST-AS","1xxx",,,,3,"","",1.0,0,1.0,0
25,"Phy Sci Elective","PHS-AS","1xxx",,,,3,"","",1.0,0,1.0,0
26,"Social Diff","SCD-AS","1xxx",,,,3,"","",1.0,0,1.0,0
27,"Social Science","SSC-AS","1xxx",,,,3,"","",1.0,0,1.0,0
28,"Languages","Lang","1xxx",,,,4,"","",5.0,2,3.0,0
29,"Languages","Lang","2xxx","28",,,4,"","",4.0,1,3.0,3
30,"Languages","Lang","3xxx","29",,,3,"","",3.0,0,3.0,0
31,"FWS","FWS","1xxx",,,,4,"","",1.0,0,1.0,0
32,"FWS","FWS","1xxx",,,,4,"","",1.0,0,1.0,0
33,"Elective","Elective","1xxx",,,,3,"","",1.0,0,1.0,0
34,"Elective","Elective","1xxx",,,,3,"","",1.0,0,1.0,0
35,"Elective","Elective","1xxx",,,,3,"","",1.0,0,1.0,0
36,"Elective","Elective","1xxx",,,,3,"","",1.0,0,1.0,0
