Curriculum,Computer Science,,,,,,,,
Insitution,School,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Programming 1,COP,2210,,,,4,,
2,Calculus 1,MAC,2311,,,,4,,
3,Calculus 2,MAC,2312,2,,,4,,
4,General Elective,XX,XX,,,,4,,
5,General Elective,XX,XX,,,,3,,
6,Software Engineering 1,CEN,4010,8;11,,,3,,
7,Introducation to the Computing Field,CGS,1920,,,,1,,
8,Technology in the Global Arena,CGS,3095,16,17,,3,,
9,Capstone 1,CIS,3950,11,,,1,,
10,Capstone 2,CIS,4951,9,,,2,,
11,Computer Programming 2,COP,3337,1,,,3,,
12,Data Structures,COP,3530,11;17,,,3,,
13,Systems Programming,COP,4338,,12,,3,,
14,Operating System Principles,COP,4610,15;13,,,3,,
15,Computer Architecture,CDA,3102,17;11,,,3,,
16,Professional and Technical Writing,ENC,3249,,,,3,,
17,Discrete Structures,COT,3100,2;1,,,3,,
18,Introduction to Probability and Statistics,STA,3033,3,,,3,,
19,Algorithm Techniques (CS Foundations Elective),COP,4534,12,,,3,,
20,Digital Forensics (CS Systems Elective),CIS,4083,1,,,3,,
21,Human Computer Interaction (CS Applications Elective),CAP,4104,11,,,3,,
22,Programming Languages,COP,4555,12,,,3,,
23,Software Engineering 2 (CS Elective),CEN,4021,6,,,3,,
24,Software Testing (CS Elective),CEN,4072,12,,,3,,
25,Natural Lanuage Processing (CS Elective),CAP,4641,12,,,3,,
26,Artifical Intelligence (CS Elective),CAP,4630,12,,,3,,
27,UCC Course,XX,XX,,,,3,,
28,UCC Course,XX,XX,,,,3,,
29,UCC Course,XX,XX,,,,3,,
30,UCC Course,XX,XX,,,,3,,
31,UCC Course,XX,XX,,,,3,,
32,General Elective,XX,XX,,,,4,,
33,General Elective,XX,XX,,,,3,,
34,UCC Course,XX,XX,,,,3,,
35,UCC Course,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,4,,
37,General Elective,XX,XX,,,,3,,
38,Physics I w/ Calculus Lab,PHY,2048L,,,,1,,
39,Physics with Calculus 2  Lab,PHY,2049L,,,,1,,
40,Physics with Calculus 1,PHY,2048,,2,38,4,,
41,Physics with Calculus 2,PHY,2049,4,3,39,4,,
