Curriculum,Computer Science,,,,,,,,
Insitution,Howard University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Explorations in Computer Science,CSCI,120,,,,2,,
2,(Non-Technical Elective),XX,XX,,,,3,,
3,Freshman Composition I(English Writing Course),ENGL,2,,,,4,,
4,Science Lecture A,XX,XX,,5,,4,,
5,Science Lecture A,XX,XX,,,,0,,
6,Intro to Computer Science,CSCI,100,,,,3,,
7,Computer Science I,CSCI,135,,,,4,,
8,Unix Lab,CSCI,211,,,,1,,
9,Calculus I,MATH,156,,,,4,,
10,Freshman Composition II (English Writing Course),ENGL,3,,,,3,,
11,Principles of Speech,SLMC,101,,,,3,,
12,Computer Science II,CSCI,136,7,,,3,,
13,Computer Orgization I,CSCI,201,7,,,3,,
14,Calculus II,MATH,157,9,,,4,,
15,Science Lecture B,XX,XX,,16,,4,,
16,Science Lab B,XX,XX,,,,0,,
17,Theory of Computation,CSCI,341,12;40,,,3,,
18,Operating Systems ,CSCI,401,39;28,,,3,,
19,Fundamentals of Algorithms,CSCI,470,37,,,3,,
20,Computer Networks,CSCI,449,,,,3,,
21,Intro to Cyber Secuirty I,CSCI,453,,,,3,,
22,Structure of Programming Langueses,CSCI,350,13;17,,,3,,
23,(Technical Elective),XX,XX,,,,3,,
24,Database Systems,CSCI,432,37,,,3,,
25,"Technical Writing, Pre Professional",ENGL,9,3;10,,,3,,
26,Introducation to Linear Algebra,MATH,180,14,,,3,,
27,Senoir Project I,CSCI,491,39,,,3,,
28,Large Scale Programming,CSCI,363,12,,,3,,
29,Applied Data Science,CSCI,473,,,,3,,
30,(Technical Elective),XX,XX,,,,3,,
31,(Technical Elective),XX,XX,,,,3,,
32,Senoir Project II,CSCI,492,27,,,3,,
33,(Technical Elective),XX,XX,,,,3,,
34,(Technical Elective),XX,XX,,,,3,,
35,(Non-Technical Elective),XX,XX,,,,3,,
36,(Non-Technical Elective),XX,XX,,,,3,,
37,Computer Science II,CSCI,354,12,,,3,,
38,Softwear Engineering,CSCI,375,37,,,3,,
39,Computer Orgization II,CSCI,202,13,,,3,,
40,Discrete Structures,MATH,181,14,,,3,,
41,Science Lecture B,XX,XX,,42,,4,,
42,Science Lab B,XX,XX,,,,0,,
