Curriculum,Computer Science,,,,,,,,
Insitution,James Madison University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming,CS,149,,,,3,,
2,Advanced Programming,CS,159,1,,,3,,
3,Algorithms and Data Structures,CS,240,5;15,,,3,,
4,Computer Systems I,CS,261,5;2,,,3,,
5,Discrete Structures I,CS,227,,1,,3,,
6,Discrete Structures II,CS,327,5;3,,,3,,
7,Software Engineering,CS,345,2,,,3,,
8,Computer Systems II,CS,361,4,,,3,,
9,Programming Languages,CS,430,3;4,,,3,,
10,Design and Analysis of Algorithms,CS,452,6;16,,,3,,
11,Compilers (Systems Elective),CS,432,6;8,,,3,,
12,Application Development (CS Elective),CS,343,2,,,3,,
13,Software Analysis and Design (CS Elective),CS,446,3;7,,,3,,
14,Operating Systems (CS Elective),CS,450,8,,,3,,
15,Calculus I,MATH,235,,,,4,,
16,Elementary Statistics,MATH,220,,,,3,,
17,General Education,XX,XX,,,,3,,
18,General Education,XX,XX,,,,3,,
19,General Education,XX,XX,,,,3,,
20,General Education,XX,XX,,,,3,,
21,General Education,XX,XX,,,,3,,
22,General Education,XX,XX,,,,3,,
23,General Education,XX,XX,,,,3,,
24,General Education,XX,XX,,,,3,,
25,General Education,XX,XX,,,,3,,
26,General Education,XX,XX,,,,3,,
27,General Education,XX,XX,,,,3,,
28,General Education,XX,XX,,,,3,,
29,Elective,XX,XX,,,,3,,
30,Elective,XX,XX,,,,3,,
31,Elective,XX,XX,,,,3,,
32,Elective,XX,XX,,,,3,,
33,Elective,XX,XX,,,,3,,
34,Elective,XX,XX,,,,3,,
35,Elective,XX,XX,,,,3,,
36,Elective,XX,XX,,,,3,,
37,Elective,XX,XX,,,,3,,
38,Elective,XX,XX,,,,3,,
39,Elective,XX,XX,,,,3,,
40,Elective,XX,XX,,,,2,,
