Curriculum,James_Madison_University_CS,,,,,,,,,
Institution,"James Madison University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Programming","CS","149",,,,3,"","",18.0,13,5.0,0
2,"Advanced Programming","CS","159","1",,,3,"","",13.0,8,5.0,21
3,"Algorithms and Data Structures","CS","240","5;15",,,3,"","",10.0,5,5.0,32
4,"Computer Systems I","CS","261","5;2",,,3,"","",9.0,4,5.0,28
5,"Discrete Structures I","CS","227",,"1",,3,"","",14.0,9,5.0,40
6,"Discrete Structures II","CS","327","5;3",,,3,"","",7.0,2,5.0,26
7,"Software Engineering","CS","345","2",,,3,"","",5.0,1,4.0,4
8,"Computer Systems II","CS","361","4",,,3,"","",7.0,2,5.0,20
9,"Programming Languages","CS","430","4;3",,,3,"","",4.0,0,4.0,0
10,"Design and Analysis of Algorithms","CS","452","6;16",,,3,"","",5.0,0,5.0,0
11,"Compilers (Systems Elective)","CS","432","6;8",,,3,"","",5.0,0,5.0,0
12,"Application Development (CS Elective)","CS","343","2",,,3,"","",3.0,0,3.0,0
13,"Software Analysis and Design (CS Elective)","CS","446","7;3",,,3,"","",4.0,0,4.0,0
14,"Operating Systems (CS Elective)","CS","450","8",,,3,"","",5.0,0,5.0,0
15,"Calculus I","MATH","235",,,,4,"","",10.0,6,4.0,0
16,"Elementary Statistics","MATH","220",,,,3,"","",3.0,1,2.0,0
17,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
18,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
19,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
20,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
21,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
22,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
23,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
24,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
25,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
27,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"General Education","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
35,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
40,"Elective","XX","XX",,,,2,"","",1.0,0,1.0,0
