Curriculum,Cornell_BA,,,,,,,
Institution,Montana State University,,,,,,,
Degree Type,BA,,,,,,,
System Type,Semester,,,,,,,
CIP,11.0701,,,,,,,
Courses,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution
1,Joy and Beauty of Computing,CSCI,107,,,,4,
2,Calculus I,M,171Q,,,,4,
3,College Writing I,WRIT,101W,,,,3,
4,Joy and Beauty of Data,CSCI,127,,,,3,
5,Basic Data Structures and Algorithms,CSCI,132,4,,,4,
6,Calculus II,M,172,2,,,4,
7,Earth System Sciences,ERTH,466,,,,3,
8,Methods of Proof,M,242,6,,,4,
9,Social & Ethical Issues in Computer Science,CSCI,215CS,,,,3,
10,Discrete Structures,CSCI,246,2,5,,4,
11,Intermediate Tech Writing,WRIT,221,3,,,3,
12,Physics I with Calculus,PHSX,220,2,,,4,
13,Web Development,CSCI,331,,,,3,
14,Programming with C I,CSCI,112,4,,,3,
15,Data Structures and Algorithms,CSCI,232,5,,,4,
16,Statistics for Scientists and Engineers,STAT,332,6,,,3,
17,Database Systems,CSCI,440,15,,,3,
18,Networks,CSCI,322,15;14,,,3,
19,Software Engineering,ESOF,366,15,,,4,
20,Computer Systems,CSCI,423,15;14,,,3,
21,Software Engineering Applications,ESOF,242,6,,,6,
22,Computer Graphics,CSCI,441,15,,,3,
23,Concepts/Programming Languages,CSCI,338,5;10,,,3,
24,Computer Science Theory,CSCI,310R,15;10,,,6,
25,Introduction to Electrical Fundamentals,EELE,101,,,,3,
26,Intro To Logic Circuits,EELE,261,,,,6,
27,Introduction to Simulation,EIND,422,4,,,3,
28,Artificial Intelligence,CSCI,446,15;10,,,4,
29,Physics II with Calculus,PHSX,222,12;2,,,3,
30,Machine Learning,CSCI,447,15;10,,,4,
31,Compilers,CSCI,468,,,,3,
32,Computer Security,CSCI,476,15;14,,,4,
33,Advanced Algorithm Topics,CSCI,432,15;10,,,3,
