Curriculum,Computer Science,,,,,,,,
Insitution,New Jersey Institute of Technology,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Roadmap to Computing,CS,100,,,,3,,
2,Calculus I,MATH,111,,,,4,,
3,English Composistion: Introduction to Acidemic Writing,ENGL,101,,,,3,,
4,Physics I,PHYS,111,,2,5,3,,
5,Physics I Lab,PHYS,111A,,,,1,,
6,First Year Student Seminar,FYS,SEM,,,,0,,
7,Introduction to Computer Science,CS,113,1,,,3,,
8,Calculuis II,MATH,112,2,,,4,,
9,English Composition: Introduction to Writing for Research,ENGL,102,3,,,3,,
10,Physics II,PHYS,121,4;2,8,11,3,,
11,Physics II Lab,PHYS,121A,,,,1,,
12,Introduction to Computer Science II,CS,114,7,,,3,,
13,Web Search (CS Elective),CS,345,18;17,,,3,,
14,Probability and Statistics,MATH,333,8,,,3,,
15,(Science Elective),,,,,,3,,
16,(His/Hum Elective),XX,2XX,3,9,,3,,
17,Foundations of Computer Science I,CS,241,12;8,,,3,,
18,Programming Language Concepts,CS,280,12,,,3,,
19,"Computers, Society, and Ethics",IS,350,7,,,3,,
20,Oral Presentations,COM,312,9,,,3,,
21,(Free Elective),XX,XX,,,,3,,
22,Computing & Effective Com,YWCC,207,,,,1,,
23,Intensive Programming in Linux,CS,288,1;18,,,3,,
24,Principles of Operating Systems,CS,332,12,,,3,,
25,Socail Sciences GER,XX,XX,,,,3,,
26,Introduction to Data Science,CS,301,12;14,,,3,,
27,Introduction to Computer Networks,CS,356,18,,,3,,
28,Database System Design and Mgmt,CS,331,12,,,3,,
29,Professional Dev in Computing,YWCC,307,22,,,1,,
30,Foundations of Computer Science II,CS,341,17;18,,,3,,
31,Intro to Computer Systems,CS,350,18,,,3,,
32,Introduction to Cybersecurity,CS,351,17;27,,,3,,
33,Introduction to Machine Learning (CS Elective),CS,375,1,,,3,,
34,Advanced Data Structures and Algorithm Design,CS,435,17;23,,,3,,
35,Guided Design in Software Engineering,CS,490,18;23,,,3,,
36,(His/Hum Elective),XX,3XX,9,,,3,,
37,Differential Equations (Math or Science Elective),MATH,222,8,,,3,,
38,Android Application Development (CS Elective),CS,300,28,,,3,,
39,Senoir Project,CS,491,35,,,3,,
40,(Hum and SS Senoir Seminar),XX,4XX,9,36,,3,,
41,Image Processing and Analysis (CS Elective),CS,439,12;14,,,3,,
42, Database Programming (CS Elective),CS,441,12,,,3,,
43,(Free Elective),XX,XX,,,,3,,
