Curriculum,North_Dakota_State_CS,,,,,,,,,
Institution,"North Dakota State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"English Composition I","ENGL","110",,,,3,"","",5.0,2,3.0,0
2,"English Composition II","ENGL","120","1",,,3,"","",4.0,1,3.0,3
3,"Fundamentals of Public Speaking","COMM","110",,,,3,"","",1.0,0,1.0,0
4,"Computer Science I","CSCI","160","18",,,4,"","",20.0,15,5.0,56
5,"Computer Science II","CSCI","161","4",,,4,"","",17.0,12,5.0,48
6,"Modern Software Development","CSCI","213","5",,,3,"","",4.0,0,4.0,0
7,"Software Development with Frameworks","CSCI","313","5",,,3,"","",8.0,3,5.0,15
8,"Theoretical Computer Science","CSCI","336","17",,,3,"","",4.0,0,4.0,0
9,"Database Systems","CSCI","366","5",,,3,"","",7.0,2,5.0,10
10,"Comparative Programming Languages","CSCI","372","5",,,3,"","",7.0,2,5.0,10
11,"Computer Organization and Architecture","CSCI","374","5",,,3,"","",6.0,1,5.0,5
12,"Software Projects Capstone","CSCI","445","7;9",,,3,"","",5.0,0,5.0,0
13,"Networking and Parallel Computation","CSCI","455","7;9",,,3,"","",5.0,0,5.0,0
14,"Algorithm Analysis","CSCI","467","5;17;19",,,3,"","",4.0,0,4.0,0
15,"Operating Systems Concepts","CSCI","474","11",,,3,"","",5.0,0,5.0,0
16,"Social Implications of Computers","CSCI","489","10",,,3,"","",5.0,0,5.0,0
17,"Discrete Mathematics","CSCI","222","4",,,3,"","",6.0,2,4.0,8
18,"Calculus I","MATH","165",,,,4,"","",24.0,19,5.0,0
19,"Calculus II","MATH","166","18",,,4,"","",7.0,3,4.0,7
20,"Probability","STAT","367","19",,,3,"","",5.0,1,4.0,4
21,"Statistics","STAT","368","20",,,3,"","",4.0,0,4.0,0
22,"Introduction to UNIX (Software Engineering Track)","CSCI","227",,,,3,"","",1.0,0,1.0,0
23,"Cloud Computing (Software Engineering Track)","CSCI","450","10",,,3,"","",5.0,0,5.0,0
24,"Foundations of the Digital Enterprise","CSCI","473",,,,3,"","",1.0,0,1.0,0
25,"Human Computer Interactions","CSCI","488","7",,,3,"","",5.0,0,5.0,0
26,"Upper Division Writing","XX","XX","2",,,3,"","",3.0,0,3.0,0
27,"Science and Technology","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"Science and Technology","XX","XX",,"29",,3,"","",2.0,0,2.0,0
29,"Science and Technology Lab","XX","XX",,,,1,"","",3.0,1,2.0,0
30,"Humanities & Fine Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"Humanities & Fine Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"Social and Behavioral Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Social and Behavioral Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"Wellness","XX","XX",,,,2,"","",1.0,0,1.0,0
35,"Cultural Diversity","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Global Perspectives","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
40,"General Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
