Curriculum,Computer Science - Software Engineering Track,,,,,,,,
Insitution,North Dakota State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,English Composition I,ENGL,110,,,,3,,
2,English Composition II,ENGL,120,1,,,3,,
3,Fundamentals of Public Speaking,COMM,110,,,,3,,
4,Computer Science I,CSCI,160,18,,,4,,
5,Computer Science II,CSCI,161,4,,,4,,
6,Modern Software Development,CSCI,213,5,,,3,,
7,Software Development with Frameworks,CSCI,313,5,,,3,,
8,Theoretical Computer Science,CSCI,336,17,,,3,,
9,Database Systems,CSCI,366,5,,,3,,
10,Comparative Programming Languages,CSCI,372,5,,,3,,
11,Computer Organization and Architecture,CSCI,374,5,,,3,,
12,Software Projects Capstone,CSCI,445,7;9,,,3,,
13,Networking and Parallel Computation,CSCI,455,7;9,,,3,,
14,Algorithm Analysis,CSCI,467,19;5;17,,,3,,
15,Operating Systems Concepts,CSCI,474,11,,,3,,
16,Social Implications of Computers,CSCI,489,10,,,3,,
17,Discrete Mathematics,CSCI,222,4,,,3,,
18,Calculus I,MATH,165,,,,4,,
19,Calculus II,MATH,166,18,,,4,,
20,Probability,STAT,367,19,,,3,,
21,Statistics,STAT,368,20,,,3,,
22,Introduction to UNIX (Software Engineering Track),CSCI,227,,,,3,,
23,Cloud Computing (Software Engineering Track),CSCI,450,10,,,3,,
24,Foundations of the Digital Enterprise,CSCI,473,,,,3,,
25,Human Computer Interactions,CSCI,488,7,,,3,,
26,Upper Division Writing,XX,XX,2,,,3,,
27,Science and Technology,XX,XX,,,,3,,
28,Science and Technology,XX,XX,,29,,3,,
29,Science and Technology Lab,XX,XX,,,,1,,
30,Humanities & Fine Arts,XX,XX,,,,3,,
31,Humanities & Fine Arts,XX,XX,,,,3,,
32,Social and Behavioral Sciences,XX,XX,,,,3,,
33,Social and Behavioral Sciences,XX,XX,,,,3,,
34,Wellness,XX,XX,,,,2,,
35,Cultural Diversity,XX,XX,,,,3,,
36,Global Perspectives,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,3,,
40,General Elective,XX,XX,,,,3,,
