Curriculum,Behavioral Neuroscience,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,134,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Foundations of Biology,1107,BIOL,,2,,4,,
2,Lab for BIOL 1107,1108,BIOL,,,,1,,
3,Inquiries in Biological Sciences,2299,BIOL,1,,,4,,
4,Genetics and Molecular Biology,2301,BIOL,3;21,5,,4,,
5,Lab for BIOL 2301,2302,BIOL,,,,1,,
6,Neurobiology,3405,BIOL,3,,,4,,
7,Behavioral Neuroscience at Northeastern,1000,BNSC,,,,1,,
8,Foundations of Psychology,1101,PSYC,,,,4,,
9,Clinical Neuroanatomy,3200,PSYC,8,,,4,,
10,Biological Psychology,3458,PSYC,8,,,4,,
11,Statistics in Psychological Research,2320,PSYC,8,,,4,,
12,Current Topics in Behavioral Neuroscience,3415,BIOL,4,,,4,,
13,Developmental Neurobiology,3605,BIOL,4,,,4,,
14,Neurobiology of Cognitive Decline,4705,BIOL,6,,,4,,
15,Neuropsychology of Fear,3506,PSYC,6,,,4,,
16,Behavioral Neuroscience Elective (Cognition),3466,PSYC,8,,,4,,
17,Behavioral Neuroscience Elective (Stem Cells and Regeneration),5543,BIOL,4,,,4,,
18,Biology Project Lab,4612,PSYC,4,,,4,,
19,Biology Capstone,4701,BIOL,38,,,4,,
20,General Chemistry for Science Majors,1161,CHEM,,21,,4,,
21,Lab for CHEM 1161,1162,CHEM,,,,1,,
22,Organic Chemistry 1,2311,CHEM,20,23,,4,,
23,Lab for CHEM 2311,2312,CHEM,,,,1,,
24,Organic Chemistry 2,2313,CHEM,22,25,,4,,
25,Lab for CHEM 2313,2314,CHEM,,,,1,,
26,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
27,Programming with Data,2000,DS,,28,,4,,
28,Data Science Programming Practicum,2001,DS,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,First-Year Writing,1111,ENGW,,,,4,,
38,Advanced Writing in the Sciences,3307,ENGW,37,,,4,,
