Curriculum,Biochemistry,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,134,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Biochemistry at Northeastern,1000,BIOC,,,,,,
2,Foundations of Biology,1107,BIOL,,3,,4,,
3,Lab for BIOL 1107,1108,BIOL,,,,1,,
4,Inquiries in Biological Sciences,2299,BIOL,2,,,4,,
5,Biology Project Lab,2309,BIOL,6,,,4,,
6,Genetics and Molecular Biology,2301,BIOL,4;8,7,,4,,
7,Lab for BIOL 2301,2302,BIOL,,,,1,,
8,General Chemistry for Science Majors,1161,CHEM,,9,,4,,
9,Lab for CHEM 1161,1162,CHEM,,,,1,,
10,Organic Chemistry 1,2311,CHEM,8,11,,4,,
11,Lab for CHEM 2311,2312,CHEM,,,,1,,
12,Organic Chemistry 2,2313,CHEM,10,13,,4,,
13,Lab for CHEM 2313,2314,CHEM,,,,1,,
14,Physical Chemistry,3431,CHEM,8;29,15,,4,,
15,Lab for CHEM 3431,3432,CHEM,,,,1,,
16,Biochemistry,3611,BIOL,6;41,17,,4,,
17,Lab for BIOL 3611,3612,BIOL,,,,1,,
18,Cell and Molecular Biology,4707,BIOL,16,,,4,,
19,Protein Chemistry,5620,CHEM,,,,4,,
20,Professional Development for Co-op,2000,EESC,,,,1,,
21,Biology Capstone,4701,BIOL,42,,,4,,
22,Biology Elective (Human Parasitology),2327,BIOL,2,,,4,,
23,Biology Elective (Bioethics),2329,BIOL,2,,,4,,
24,Chemistry Elective (Environmental Geochemistry),3410,CHEM,8,,,4,,
25,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
26,Calculus 2 for Science and Engineering,1342,MATH,25,,,4,,
27,Physics for Life Sciences 1,1145,PHYS,,28,,4,,
28,Lab for PHYS 1145,1146,PHYS,,,,1,,
29,Physics for Life Sciences 2,1147,PHYS,27,30,,4,,
30,Lab for PHYS 1147,1148,PHYS,,,,1,,
31,Statistics and Software,2280,MATH,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
40,General Elective,XXXX,XX,,,,4,,
41,First-Year Writing,1111,ENGW,,,,4,,
42,Advanced Writing in the Sciences,3307,ENGW,41,,,4,,
