Curriculum,Biology,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,136,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Biology at Northeastern,1000,BIOL,,,,1,,
2,Professional Development for Co-op,2000,EESC,,,,1,,
3,Foundations of Biology,1107,BIOL,,4,,4,,
4,Lab for BIOL 1107,1108,BIOL,,,,1,,
5,Inquiries in Biological Sciences,2299,BIOL,3,,,4,,
6,Genetics and Molecular Biology,2301,BIOL,5;19,7,,4,,
7,Lab for BIOL 2301,2302,BIOL,,,,1,,
8,Biology Project Lab,2309,BIOL,6,,,4,,
9,Biochemistry,3611,BIOL,6;42,10,,4,,
10,Lab for BIOL 3611,3612,BIOL,,,,1,,
11,Biology Capstone,4701,BIOL,43,,,4,,
12,Human Parasitology,2327,BIOL,3,,,4,,
13,Neurobiology of Cognitive Decline,4705,BIOL,14,,,4,,
14,Neurobiology,3405,BIOL,5,,,4,,
15,Cell and Molecular Biology,4707,BIOL,9,,,4,,
16,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
17,Biostatistics,2500,ENVR,,18,,4,,
18,Lab for ENVR 2500,2501,ENVR,,,,1,,
19,General Chemistry for Science Majors,1161,CHEM,,20;21,,4,,
20,Lab for CHEM 1161,1162,CHEM,,,,1,,
21,Recitation for CHEM 1161,1163,CHEM,,,,1,,
22,Organic Chemistry 1,2311,CHEM,19,23,,4,,
23,Lab for CHEM 2311,2312,CHEM,,,,1,,
24,Organic Chemistry 2,2313,CHEM,22,25,,4,,
25,Lab for CHEM 2313,2314,CHEM,,,,1,,
26,Physics for Life Sciences 1,1145,PHYS,,27,,4,,
27,Lab for PHYS 1145,1146,PHYS,,,,1,,
28,Physics for Life Sciences 2,1147,PHYS,26,29,,4,,
29,Lab for PHYS 1147,1148,PHYS,,,,1,,
30,Statistics and Software,2280,MATH,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
40,General Elective,XXXX,XX,,,,4,,
41,General Elective,XXXX,XX,,,,4,,
42,First-Year Writing,1111,ENGW,,,,4,,
43,Advanced Writing in the Sciences,3307,ENGW,42,,,4,,
