Curriculum,Communication Studies,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Communication Studies at Northeastern,1000,COMM,,,,4,,
2,Introduction to Communication Studies,1101,COMM,,,,4,,
3,Public Speaking,1112,COMM,,,,4,,
4,Communication Research Methods,2301,COMM,,,,4,,
5,Persuasion and Rhetoric,1210,COMM,,,,4,,
6,"Sex, Relationships, and Communication",1131,COMM,,,,4,,
7,Mobile Communication,3200,COMM,32,,,4,,
8,Health Communication,3201,COMM,32,,,4,,
9,Health Communication Campaigns,4102,COMM,8,,,4,,
10,Global and Intercultural Communication,2303,COMM,,,,4,,
11,Communication and Gender,2304,COMM,,,,4,,
12,Communication Law,2501,COMM,,,,4,,
13,Free Speech in Cyberspace,2551,COMM,,,,4,,
14,Communication Criticism,3415,COMM,32,,,4,,
15,General Elective,XXXX,XX,,,,4,,
16,General Elective,XXXX,XX,,,,4,,
17,General Elective,XXXX,XX,,,,4,,
18,General Elective,XXXX,XX,,,,4,,
19,General Elective,XXXX,XX,,,,4,,
20,General Elective,XXXX,XX,,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,First-Year Writing,1111,ENGW,,,,4,,
