Curriculum,Design,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BFA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,130,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Art and Design at Northeastern,1000,ARTF,,,,1,,
2,Color and Composition,1122,ARTF,,,,4,,
3,Form and Structure,1124,ARTF,,4,,4,,
4,Form and Structure Tools,1125,ARTF,,,,1,,
5,Movement and Time,2220,ARTF,,6,,4,,
6,Movement and Time Tools,2221,ARTF,,,,2,,
7,Experience and Interaction,2223,ARTF,,8,,4,,
8,Experience and Interaction Tools,2224,ARTF,,,,1,,
9,Visual Intelligence,1001,ARTH,,10,,4,,
10,Seminar in Visual Intelligence,1002,ARTH,,,,0,,
11,Topics in Visual Studies,3000,ARTH,,,,4,,
12,Topics in Visual Studies,4000,ARTH,,,,4,,
13,Global Art and Design History: Renaissance to Modern,1111,ARTH,,,,4,,
14,Design Perspectives: An Introduction to Design in the World,1001,ARTG,,15,,4,,
15,Seminar for Design Perspectives,1002,ARTG,,,,0,,
16,Design: Process + Practices,1270,ARTG,,17,,4,,
17,Studio for Design: Process + Practices,1271,ARTG,,,,0,,
18,Typographic Systems,1290,ARTG,2,19,,4,,
19,Studio for Typographic Systems,1291,ARTG,,,,0,,
20,Prototyping with Code,2262,ARTG,,21,,4,,
21,Lab for ARTG 2262,2263,ARTG,,,,0,,
22,Design Degree Project,4550,ARTG,,,,4,,
23,The Business of Games,2010,GAME,,,,4,,
24,Animation Basics,2370,ARTD,5,25,,4,,
25,Animation Tools,2371,ARTD,,,,1,,
26,Elective (Programming Basics),2260,ARTG,,,,4,,
27,Elective (Interaction Design Principles),2400,ARTG,7,,,4,,
28,Elective (Physical Computing),3250,ARTG,27,,,4,,
29,Experience Design Principles,3462,ARTG,7,,,4,,
30,Experience Design 2,3463,ARTG,29,,,4,,
31,Topics in Design,5000,ARTG,,,,4,,
32,Physical and Digital Fabrication,3100,ARTG,26,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
40,General Elective,XXXX,XX,,,,4,,
41,General Elective,XXXX,XX,,,,4,,
