Curriculum,Ecology and Evolutionary Biology,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,137,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Foundations in Ecology and Evolutionary Biology,1101,EEMB,,2,,4,,
2,Lab for EEMB 1101,1102,EEMB,,,,1,,
3,Foundations in Ecological and Evolutionary Genomics,1105,EEMB,,4,,4,,
4,Lab for EEMB 1105,1106,EEMB,,,,1,,
5,Genetics and Molecular Biology,2301,BIOL,3,6,,4,,
6,Lab for BIOL 230,2302,BIOL,,,,1,,
7,Introduction to Evolution,2400,EEMB,1,,,4,,
8,Ecology,2302,EEMB,43,,,4,,
9,Lab for EEMB 2302,2303,EEMB,,,,1,,
10,Conservation Biology,3460,EEMB,1,,,4,,
11,"Introduction to Environmental, Social, and Biological Data",1500,ENVR,,12,,4,,
12,Lab for ENVR 1500,1501,ENVR,,,,1,,
13,Biostatistics,2500,ENVR,,14;15,,4,,
14,Lab for ENVR 2500,2501,ENVR,,,,1,,
15,Recitation for ENVR 2500,2502,ENVR,,,,0,,
16,Science Communication and Professional Development,4000,ENVR,,,,4,,
17,Senior Thesis,4997,ENVR,,,,4,,
18,Calculus 1,1241,MATH,,,,4,,
19,General Chemistry for Science Majors,1161,CHEM,,20;21,,4,,
20,Lab for CHEM 1161,1162,CHEM,,,,1,,
21,Recitation for CHEM 1161,1163,CHEM,,,,0,,
22,Organic Chemistry 1,2311,CHEM,19,23,,4,,
23,Lab for CHEM 2311,2312,CHEM,,,,1,,
24,Physics for Life Sciences 1,1145,PHYS,,25,,4,,
25,Lab for PHYS 1145,1146,PHYS,,,,1,,
26,Ecology and Evolution of Behavior,2290,EEMB,,,,4,,
27,Ecosystems Ecology,3455,EEMB,8,,,4,,
28,Environmental Geochemistry,3410,ENVR,19,,,4,,
29,Animal Behavior,3600,EEMB,3,,,4,,
30,Wildlife Ecology,3475,EEMB,8,,,4,,
31,Desert Ecology,3700,EEMB,8,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
40,General Elective,XXXX,XX,,,,4,,
41,General Elective,XXXX,XX,,,,4,,
42,General Elective,XXXX,XX,,,,4,,
43,First-Year Writing,1111,ENGW,,,,4,,
