Curriculum,Economics,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Principles of Macroeconomics,1115,ECON,,,,4,,
2,Principles of Microeconomics,1116,ECON,,,,4,,
3,Macroeconomic Theory,2315,ECON,1;15,,,4,,
4,Microeconomic Theory,2316,ECON,2;15,,,4,,
5,Statistics for Economists,2350,ECON,,,,4,,
6,Applied Econometrics,2560,ECON,1;25;15;18,,,4,,
7,Senior Economics Seminar,4692,ECON,3;4;5,,,4,,
8,Healthcare and Medical Economics,1230,ECON,,,,4,,
9,Economics of Crime,1240,ECON,,,,4,,
10,History of the Global Economy,3290,ECON,1,,,4,,
11,International Food Policy,3404,ECON,2,,,4,,
12,A Critique of Capitalism,3405,ECON,2,,,4,,
13,Critical Perspectives on Economics,3406,ECON,2,,,4,,
14,Women’s Labor and the Economy,3412,ECON,2,,,4,,
15,Calculus 1,1241,MATH,,,,4,,
16,Computer Science and Its Applications,1100,CS,,17,,4,,
17,Lab for CS 1100,1101,CS,,,,4,,
18,First-Year Writing,1111,ENGW,,,,4,,
19,Asian American Cinemas,3100,ASNS,18,,,4,,
20,General Elective,XXXX,XX,,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
