Curriculum,English,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,129,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,English at Northeastern,1000,ENGL,,,,1,,
2,First-Year Writing,1111,ENGW,,,,4,,
3,Introduction to Rhetoric,1160,ENGL,2,,,4,,
4,Introduction to Literary Studies,1400,ENGL,2,,,4,,
5,Global Literatures 1,1700,ENGL,2,,,4,,
6,Introduction to Shakespeare,1600,ENGL,2,,,4,,
7,17th- and 18th-Century Literatures,3120,ENGL,2,,,4,,
8,The American Renaissance,2330,ENGL,2,,,4,,
9,The Modern Bestseller,2440,ENGL,2,,,4,,
10,Reading and Writing in the Digital Age,1450,ENGL,2,,,4,,
11,American Literature to 1865,1502,ENGL,2,,,4,,
12,Grammar: The Architecture of English,1140,ENGL,2,,,4,,
13,Advanced Writing in Literature,3310,ENGW,2,,,4,,
14,Travel and Place-Based Writing,2695,ENGL,2,,,4,,
15,Style and Editing,2710,ENGL,2,,,4,,
16,Capstone Seminar,4710,ENGL,13,,,4,,
17,Literature and Digital Diversity,2150,ENGL,,,,4,,
18,Introduction to Language and Linguistics,1150,LING,,,,4,,
19,Linguistic Analysis,2350,LING,18,,,4,,
20,Writing and Community Engagement,2740,ENGL,2,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
