Curriculum,Environmental and Sustainability Sciences,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,138,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Marine and Environmental Sciences at Northeastern,1000,ENVR,,,,1,,
2,First-Year Writing,1111,ENGW,,,,4,,
3,Ecology,2302,EEMB,2,4,,4,,
4,Lab for EEMB 2302,2303,EEMB,,,,1,,
5,Dynamic Earth,1200,ENVR,,6,,4,,
6,Lab for ENVR 1200,1201,ENVR,,,,1,,
7,Foundations in Environmental and Sustainability Sciences,1400,ENVR,,8,,4,,
8,Lab for ENVR 1400,1401,ENVR,,,,1,,
9,"Introduction to Environmental, Social, and Biological Data",1500,ENVR,,10,,4,,
10,Lab for ENVR 1500,1501,ENVR,,,,1,,
11,Sustainable Development,2515,ENVR,7,,,4,,
12,Geographic Information Systems,3300,ENVR,7,13,,4,,
13,Lab for ENVR 3300,3301,ENVR,,,,1,,
14,Science Communication and Professional Development,4000,ENVR,,,,4,,
15,Solving Emerging Environmental Challenges through Capstone,4050,ENVR,,,,4,,
16,Statistics for Economists,2350,ECON,,,,4,,
17,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
18,Introduction to Evolution,2400,EEMB,7,,,4,,
19,Ecosystems Ecology,3455,EEMB,5,,,4,,
20,Conservation Biology,3460,EEMB,7,,,4,,
21,Landscape and Restoration Ecology,4001,EEMB,7,,,4,,
22,Ecosystem-Based Management,5220,ENVR,,,,4,,
23,Ecological and Conservation Genomics,3465,EEMB,18,,,4,,
24,Disease Ecology,3466,EEMB,7,,,4,,
25,Wildlife Ecology,3475,EEMB,3,,,4,,
26,Desert Ecology,3700,EEMB,3,,,4,,
27,Water Resources,3200,ENVR,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
39,General Elective,XXXX,XX,,,,4,,
