Curriculum,Journalism,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,130,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Journalism at Northeastern,1000,JRNL,,,,1,,
2,Journalism 1: Fundamentals of Reporting and Writing,1101,JRNL,,3,,4,,
3,Journalist’s Toolbox,1102,JRNL,,,,1,,
4,Journalism 2: Intermediate Reporting,2201,JRNL,2,,,4,,
5,Visual Storytelling in Journalism,2301,JRNL,6,,,4,,
6,First-Year Writing,1111,ENGW,,,,4,,
7,Digital Storytelling and Social Media,3610,JRNL,,,,4,,
8,Understanding Today’s News,1150,JRNL,,,,4,,
9,The History of Journalism: How the News Became the News,2350,JRNL,6,,,4,,
10,The First Amendment and the Media,3550,JRNL,,,,4,,
11,Ethics and Issues in Journalism,4650,JRNL,,,,4,,
12,Journalism Elective (The Bigger Picture: Sports Journalism Beyond the Box Score),2800,JRNL,,,,4,,
13,Journalism Elective (Public Relations Principles),3425,JRNL,,,,4,,
14,Journalism Elective (Sports Writing),3455,JRNL,,,,4,,
15,Introduction to the History of the United States,1130,HIST,,,,4,,
16,General Elective,XXXX,XX,,,,4,,
17,General Elective,XXXX,XX,,,,4,,
18,General Elective,XXXX,XX,,,,4,,
19,General Elective,XXXX,XX,,,,4,,
20,General Elective,XXXX,XX,,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
