Curriculum,Mathematics,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,131,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Mathematical Reasoning,1365,MATH,,,,4,,
2,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
3,Calculus 2 for Science and Engineering,1342,MATH,2,,,4,,
4,Calculus 3 for Science and Engineering,2321,MATH,3,,,4,,
5,Linear Algebra,2331,MATH,3,,,4,,
6,Differential Equations and Linear Algebra for Engineering,2341,MATH,3,,,4,,
7,Probability and Statistics,3081,MATH,3,,,4,,
8,Real Analysis,3150,MATH,1;37,,,4,,
9,Group Theory,3175,MATH,4;5,,,4,,
10,Co-op and Experiential Learning Reflection Seminar 1,3000,MATH,,,,1,,
11,Mathematics Elective (Advanced Probability and Statistics),3181,MATH,4,,,4,,
12,Mathematics Elective (Advanced Group Theory),3275,MATH,1;5,,,4,,
13,Mathematics Elective (Differential Geometry),3331,MATH,4;5,,,4,,
14,Mathematics Elective (Dynamical Systems),3341,MATH,6,,,4,,
15,Physics 1,1161,PHYS,2,16;17,,4,,
16,Lab for PHYS 1161,1162,PHYS,,,,1,,
17,Recitation for PHYS 1161,1163,PHYS,,,,0,,
18,Physics 2,1165,PHYS,15;4,19;20,,4,,
19,Lab for PHYS 1165,1166,PHYS,,,,1,,
20,Recitation for PHYS 1165,1167,PHYS,,,,0,,
21,Applied Mathematics Capstone,4025,MATH,7,,,4,,
22,Upper-Division Elective (Number Theory 1),3527,MATH,3,,,4,,
23,Upper-Division Elective (Numerical Analysis),3530,MATH,6,,,4,,
24,Upper-Division Elective (Combinatorial Mathematics),3533,MATH,3,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,First-Year Writing,1111,ENGW,,,,4,,
