Curriculum,Philosophy,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,128,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Logic,1115,PHIL,,,,4,,
2,First-Year Writing,1111,ENGW,,,,4,,
3,Ancient Philosophy and Political Thought,2325,PHIL,2,,,4,,
4,Modern Philosophy,2330,PHIL,2,,,4,,
5,"Goddesses, Witches, Saints, and Sinners: Women and Religion",1104,PHIL,,,,4,,
6,Advanced Philosophy Elective (Philosophy of Emotions),3305,PHIL,,,,4,,
7,Advanced Philosophy Elective (Existentialism),3343,PHIL,,,,4,,
8,Advanced Philosophy Elective (Advanced Logic),4515,PHIL,1,,,4,,
9,Philosophy Elective (Human Rights),2155,PHIL,,,,4,,
10,Philosophy Elective (Indigenous Philosophy),2492,PHIL,,,,4,,
11,General Elective,XXXX,XX,,,,4,,
12,General Elective,XXXX,XX,,,,4,,
13,General Elective,XXXX,XX,,,,4,,
14,General Elective,XXXX,XX,,,,4,,
15,General Elective,XXXX,XX,,,,4,,
16,General Elective,XXXX,XX,,,,4,,
17,General Elective,XXXX,XX,,,,4,,
18,General Elective,XXXX,XX,,,,4,,
19,General Elective,XXXX,XX,,,,4,,
20,General Elective,XXXX,XX,,,,4,,
21,General Elective,XXXX,XX,,,,4,,
22,General Elective,XXXX,XX,,,,4,,
23,General Elective,XXXX,XX,,,,4,,
24,General Elective,XXXX,XX,,,,4,,
25,General Elective,XXXX,XX,,,,4,,
26,General Elective,XXXX,XX,,,,4,,
27,General Elective,XXXX,XX,,,,4,,
28,General Elective,XXXX,XX,,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
