Curriculum,Physics,,,,,,,,
Insitution,Northeastern,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,,,,,,,135,,
Courses,,,,,,,,,
Course ID,Course Name,Number,Prefix,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus 1 for Science and Engineering,1341,MATH,,,,4,,
2,Calculus 2 for Science and Engineering,1342,MATH,1,,,4,,
3,Calculus 3 for Science and Engineering,2321,MATH,2,,,4,,
4,Differential Equations and Linear Algebra for Engineering,2341,MATH,2,,,4,,
5,Linear Algebra,2331,MATH,2,,,4,,
6,Probability and Statistics,3081,MATH,2,,,4,,
7,Physics 1,1161,PHYS,1,8,,4,,
8,Lab for PHYS 1161,1162,PHYS,,,,1,,
9,Physics 2,1165,PHYS,7;3,10,,4,,
10,Lab for PHYS 1165,1166,PHYS,,,,1,,
11,Modern Physics,2303,PHYS,12;3,,,4,,
12,Electronics,2371,PHYS,9,13,,4,,
13,Lab for PHYS 2371,2372,PHYS,,,,0,,
14,First-Year Writing,1111,ENGW,,,,4,,
15,Advanced Physics Laboratory,3600,PHYS,14;17,,,4,,
16,Classical Dynamics,3601,PHYS,12;4,,,4,,
17,Electricity and Magnetism 1,3602,PHYS,12;3;4,,,4,,
18,Electricity and Magnetism 2,3603,PHYS,17,,,4,,
19,Quantum Mechanics,4115,PHYS,11,,,4,,
20,Thermodynamics and Statistical Mechanics,4305,PHYS,12;3;14,,,4,,
21,Mathematical and Computational Methods for Physics,4606,MATH,14;3;4,,,4,,
22,Principles of Experimental Physics,5318,PHYS,11,,,4,,
23,Computational Problem Solving in Physics,1211,PHYS,12;2,,,4,,
24,General Chemistry 1,1211,CHEM,,28;29,,4,,
25,Lab for CHEM 1211,1212,CHEM,,,,1,,
26,Recitation for CHEM 1211,1213,CHEM,,,,0,,
27,Technical Elective (Statistics and Software),2280,MATH,,,,4,,
28,Technical Elective (Multimessenger Astrophysics),4111,PHYS,11,,,4,,
29,General Elective,XXXX,XX,,,,4,,
30,General Elective,XXXX,XX,,,,4,,
31,General Elective,XXXX,XX,,,,4,,
32,General Elective,XXXX,XX,,,,4,,
33,General Elective,XXXX,XX,,,,4,,
34,General Elective,XXXX,XX,,,,4,,
35,General Elective,XXXX,XX,,,,4,,
36,General Elective,XXXX,XX,,,,4,,
37,General Elective,XXXX,XX,,,,4,,
38,General Elective,XXXX,XX,,,,4,,
