Curriculum,Computer Science - Foundations Concentration,,,,,,,,
Insitution,School,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,First Year Seminar,CS,1200,,,,1,,
2,Professional Development for Khoury Co-op,CS,1210,7,,,1,,
3,Discrete Structures,CS,1800,,,4,4,,
4,Seminar for CS 1800,CS,1801,,,,1,,
5,Fundamentals of Computer Science 1,CS,2500,,,6,4,,
6,Lab for CS 2500,CS,2501,,,,1,,
7,Fundamentals of Computer Science 2,CS,2510,5,,8,4,,
8,Lab for CS 2510,CS,2511,,,,1,,
9,Mathematics of Data Models,CS,2810,3;5,,,4,,
10,Algorithms and Data,CS,3000,7;3,,30,4,,
11,Object Oriented Design,CS,3500,7,,12,4,,
12,Lab for CS 3500,CS,3501,,,,1,,
13,Computer Systems,CS,3650,7,,,4,,
14,Theory of Computation,CS,3800,7,,,4,,
15,Software Development,CS,4500,11,,,4,,
16,Foundations of Cybersecuirty,CY,2550,5,,,4,,
17,Public Speaking,COMM,1112,,,,4,,
18,Khoury Elective (Web Development),CS,4550,11,,,4,,
19,Khoury Elective (Programming in C++),CS,3520,7,,,4,,
20,Calculus 1 for Science and Engineering,MATH,1341,,,,4,,
21,Introduction to Mathematical Reasoning,MATH,1365,,,,4,,
22,Computing and Social Issues (Tech and Human Values),PHIL,1145,,,,4,,
23,Fundamentals of Digital Design and Computer Organization,EECE,2322,3;7,,24,4,,
24,Lab for EECE 2322,EECE,2323,,,,1,,
25,Science Elective (General Biology 1),BIOL,1111,,26,,4,,
26,Science Elective Lab (Lab for BIOL 1111),BIOL,1112,,,,1,,
27,Science Elective (Calculus 2),MATH,1342,20,,,4,,
28,First Year Writing,ENGW,1111,,,,4,,
29,Advanced Writing in the Technical Professions,ENGW,3302,28,,,4,,
30,Recitation for CS 3000,CS,3001,,,,0,,
31,Logic and Computation (Foundations Concentration),CS,2800,3;5,,,4,,
32,Fundamentals of Complexity Theory (Foundations Concentration),CS,4805,14,,,4,,
33,Advanced Algorithms (Foundations Concentration),CS,4810,10,,,4,,
34,Computer-Aided Reasoning (Foundations Concentration),CS,4820,31;10,,,4,,
35,Interpreting Culture Elective,XX,XX,,,,4,,
36,Engaging Difference and Diversity Elective,XX,XX,,,,4,,
37,General Elective,XX,XX,,,,4,,
38,General Elective,XX,XX,,,,4,,
39,General Elective,XX,XX,,,,4,,
