Curriculum,Computer Science,,,,,,,,
Insitution,Oregon State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Argument and Critial Discourse,COMM,1114,,,,3,,
2,Introduction to Computer Science II,CS,162,27,,,4,,
3,Data Structures,CS,261,2;20,,,4,,
4,Web Development,CS,290,2,,,4,,
5,Analysis of Algorithms,CS,325,3;20,,,4,,
6,Introduction to Databases,CS,340,4,,,4,,
7,Operating Systems I,CS,344,3;28,,,4,,
8,Software Engineering I,CS,361,3,,,4,,
9,Software Engineering II,CS,362,8,,,4,,
10,Introducrtion to Computer Networks,CS,372,3;28,,,4,,
11,Programming Language Fundamentals,CS,381,3;20,,,4,,
12,Social and Ethical Issues in Computer Science,CS,391,,,,3,,
13,Operating Systems II,CS,444,7;28,,,4,,
14,Senoir Software Engineering Project I,CS,461,5;8;9,,,3,,
15,Senoir Software Engineering Project II,CS,462,9;14,,,3,,
16,Senoir Software Engineering Project,CS,463,15,,,2,,
17,The Oregon State Engieneering Student,ENGR,100,,,,3,,
18,Design Engineering and Problem Solving,ENGR,102,,,,3,,
19,Engineering Computation and Algorithmic Thinking,ENGR,103,18,,,3,,
20,Elements of Discrete Mathematics,MTH,231,,,,4,,
21,Differential Calculus,MTH,251,,,,4,,
22,Integral Calculus,MTH,252,21,,,4,,
23,Introduction to Statistics for Engineers,ST,314,22,,,3,,
24,Composition I,WR,121Z,,,,4,,
25,Writing in Business,WR,214,24,,,3,,
26,Technical Writing,WR,227Z,24,,,4,,
27,Introduction to Computer Science I,CS,161,,,,4,,
28,Computer Architecture and Assembly Language,CS,271,27,,,4,,
29,Health GR,XX,XX,,,,1,,
30,Perspectives GE,XX,XX,,,,3,,
31,Perspectives GE,XX,XX,,,,3,,
32,Perspectives GE,XX,XX,,,,3,,
33,Perspectives GE,XX,XX,,,,3,,
34,Perspectives GE,XX,XX,,,,3,,
35,Perspectives GE,XX,XX,,,,3,,
36,"Diffence, Power & Discrimination Course GE",XX,XX,,,,3,,
37,Perspectives GE,XX,XX,,,,4,,
38,Option GE,XX,XX,,,,4,,
39,Option GE,XX,XX,,,,4,,
40,Option GE,XX,XX,,,,4,,
41,Option GE,XX,XX,,,,4,,
42,Option GE,XX,XX,,,,4,,
43,Option GE,XX,XX,,,,4,,
44,Restricted Elective,XX,XX,,,,3,,
45,Option GE,XX,XX,,,,4,,
46,Option GE,XX,XX,,,,4,,
47,Synethisis GE,XX,XX,,,,3,,
48,Option GE,XX,XX,,,,4,,
49,Restricted Elective,XX,XX,,,,3,,
50,Unrestricted Elective,XX,XX,,,,3,,
51,Unrestricted Elective,XX,XX,,,,3,,
52,Unrestricted Elective,XX,XX,,,,2,,
