Curriculum,Princeton_CS,,,,,,,,,
Institution,"Princeton",,,,,,,,,
Degree Type,"BSE",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Reasoning about Computation","COS","240","11;12;14",,,1,"","",8.0,2,6.0,26
2,"Principles of Computer System Design","COS","375","10",,,1,"","",3.0,0,3.0,0
3,"Introduction to Machine Learning","COS","324","15;16;11;14",,,1,"","",5.0,0,5.0,0
4,"Theory of Algorithms","COS","423","11;1",,,1,"","",6.0,0,6.0,0
5,"Functional Programming","COS","326","11",,,1,"","",3.0,0,3.0,0
6,"CS Elective (Operating Systems)","COS","318","11;10",,,1,"","",3.0,0,3.0,0
7,"CS Elective (Theory of Computation)","COS","487","1",,,1,"","",6.0,0,6.0,0
8,"CS Elective (Advanced Programming Techniques)","COS","333","10","11",,1,"","",3.0,0,3.0,0
9,"Independent Work","XX","XX",,,,1,"","",1.0,0,1.0,0
10,"Introduction to Programming Systems","COS","217","12",,,1,"","",6.0,3,3.0,9
11,"Algorithms and Data Structures","COS","226","12",,,1,"","",11.0,7,4.0,23
12,"Computer Science: An interdisciplinary Approach","COS","126",,,,1,"","",14.0,10,4.0,0
13,"Calculus","MAT","103",,,,1,"","",15.0,9,6.0,0
14,"Linear Algebra with Applications","MAT","202","15",,,1,"","",10.0,4,6.0,17
15,"Multivarible Calculus","MAT","201","17",,,1,"","",12.0,6,6.0,26
16,"Fundamentals of Statistics","ORF","245",,"15",,1,"","",6.0,1,5.0,5
17,"Calculus","MAT","104","13",,,1,"","",13.0,7,6.0,26
18,"General Physics","PHYS","103",,,,1,"","",1.0,0,1.0,0
19,"General Physics","PHYS","104","13",,,1,"","",2.0,0,2.0,0
20,"Materials Chemisty","CHEM","201",,,,1,"","",1.0,0,1.0,0
21,"Writing Seminar","XX","XX",,,,1,"","",1.0,0,1.0,0
22,"Culture and Diffence","XX","XX",,,,1,"","",1.0,0,1.0,0
23,"Epistemology and Cognition","XX","XX",,,,1,"","",1.0,0,1.0,0
24,"Ethical Thought and Moral Values","XX","XX",,,,1,"","",1.0,0,1.0,0
25,"Historical Analysis","XX","XX",,,,1,"","",1.0,0,1.0,0
26,"Literature and the Arts","XX","XX",,,,1,"","",1.0,0,1.0,0
27,"Social Analysis","XX","XX",,,,1,"","",1.0,0,1.0,0
28,"Language Requirements (Spanish Begineer and Intermediate)","SPA","107","29",,,1,"","",2.0,0,2.0,0
29,"Language Requirements (Spanish Advanced)","SPA","103",,,,1,"","",3.0,1,2.0,0
30,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
31,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
32,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
33,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
34,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
35,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
36,"General Elective","XX","XX",,,,1,"","",1.0,0,1.0,0
