Curriculum,Computer Science BS,,,,,,,,
Insitution,Rutgers University New Brunswick,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I for Physical Science Majors,640,151,,,,4,,
2,Calculus II for Physical Science Majors,640,152,1,,,4,,
3,Introduction to Computer Science,198,111,,1,,4,,
4,Data Structures,198,112,3,,,4,,
5,Introduction to Discrete Structures I,198,205,3,,,4,,
6,Introduction to Discrete Structures II,198,206,5;2,,,4,,
7,Computer Architecture,198,211,4,,,4,,
8,Design and Analysis of Computer Algorithms,198,344,4;6,,,4,,
9,Computer Science Elective (software methodology),198,213,4,,,4,,
10,Computer Science Elective (principles of programming languages),198,314,7;5;2,,,4,,
11,Computer Science Elective (principles of information and data management),198,336,2;4;5,,,4,,
12,Computer Science Elective (internet technology),198,352,7;6,,,4,,
13,Computer Science Elective (introducation to artificial intelligence),198,440,5;2,,,4,,
14,"Computer Science and Related Field Elective (minds, machines, and persons)",730,329,,,,3,,
15,Computer Science and Related Field Elective (computer security),198,419,2;5;12,,,4,,
16,General Physics,750,203,,1;18,,3,,
17,General Physics,750,204,16,1;19,,3,,
18,General Physics Lab,750,205,,,,1,,
19,General Physics Lab,750,206,,,,1,,
20,Introductory Linear Algebra,640,250,,1,,3,,
21,Diversities and Social Inequalities [CCD],XX,XX,,,,3,,
22,Our Common Future [CCO],XX,XX,,,,3,,
23,Natural Sciences  [NS],XX,XX,,,,3,,
24,Natural Sciences  [NS],XX,XX,,,,3,,
25,Historical Analysis [HST],XX,XX,,,,3,,
26,Social Analysis [SCL],XX,XX,,,,3,,
27,Arts and Humanities [AH],XX,XX,,,,3,,
28,Arts and Humanities [AH],XX,XX,,,,3,,
29,Expository Writing,355,101,,,,3,,
30,Writing and Communication [WCr],XX,XX,,,,3,,
31,Writing and Communication [WCd],XX,XX,,,,3,,
32,Quantitive and Formal Reasoning [QQ],XX,XX,,,,3,,
33,Quantitive and Formal Reasoning [QR],XX,XX,,,,3,,
34,Contemporay Challenges [CC],XX,XX,,,,3,,
35,Contemporay Challenges [CC],XX,XX,,,,3,,
36,General Elective,XX,XX,,,,4,,
37,First year seminar,XX,XX,,,,1,,
