Curriculum,San_Diego_State_CS,,,,,,,,,
Institution,"San Diego State",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Computer Programming ","CS","150",,,"2",3,"","",21.0,15,6.0,80
2,"Introduction to Computer Programming Lab","CS","150L",,,,1,"","",22.0,16,6.0,0
3,"Intermidiate Computer Programming","CS","160","1",,"4",3,"","",20.0,14,6.0,145
4,"Intermidiate Computer Programming Lab","CS","160L",,,,1,"","",20.0,15,5.0,0
5,"Data Structures","CS","210","10;3",,,3,"","",15.0,9,6.0,120
6,"Machine Organization and Assembly Language","CS","240","3",,,3,"","",14.0,8,6.0,62
7,"Introdution to Software Systems","CS","250","6",,,3,"","",9.0,3,6.0,33
8,"Calculus I","MATH","150",,,,4,"","",20.0,15,5.0,0
9,"Calculus II","MATH","151","8",,,4,"","",8.0,4,4.0,11
10,"Discrete Mathematics","MATH","245","8",,,3,"","",15.0,10,5.0,37
11,"Introduction to Linear Algebra","MATH","254","9",,,3,"","",6.0,2,4.0,8
12,"Principles of Physics","PHYS","195","8",,"13",3,"","",4.0,1,3.0,6
13,"Principles of Physics Lab","PHYS","195L",,,,1,"","",5.0,2,3.0,0
14,"Principles of Physics","PHYS","196","9;12",,"15",3,"","",3.0,0,3.0,0
15,"Principles of Physics Lab","PHYS","196L",,,,1,"","",3.0,1,2.0,0
16,"Basic Statistical Methods","STAT","250",,,,3,"","",1.0,0,1.0,0
17,"Computer Architecture","CS","370","7",,,3,"","",6.0,0,6.0,0
18,"Advanced Programming Languages","CS","420","5;6",,,3,"","",7.0,1,6.0,27
19,"Introduction to Artifical Intelligence","CS","450","5;7;11",,,3,"","",6.0,0,6.0,0
20,"Algorithms","CS","460","5",,,3,"","",5.0,0,5.0,0
21,"Operating Systems","CS","480","5;6",,,3,"","",5.0,0,5.0,0
22,"Applied Probability","STAT","550",,,,3,"","",1.0,0,1.0,0
23,"System Programming (CS Elective)","CS","530","5;6",,,3,"","",5.0,0,5.0,0
24,"Software Engineering (CS Elective)","CS","532","7",,,3,"","",6.0,0,6.0,0
25,"Human Computer Interfaces (CS Elective)","CS","546","5;18",,,3,"","",6.0,0,6.0,0
26,"Machine Learning (CS Elective)","CS","549","5;11",,,3,"","",5.0,0,5.0,0
27,"Introduction to Web Application Development (CS Elective)","CS","545","5",,,3,"","",5.0,0,5.0,0
28,"Wireless Networks (CS Elective)","CS","578","5",,,3,"","",5.0,0,5.0,0
29,"Upper Divison Writing","XX","XXW",,,,3,"","",1.0,0,1.0,0
30,"Lower Division Writing ","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"American Institutions ","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"American Institutions ","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Language Requirment","XX","XX",,,,3,"","",5.0,2,3.0,0
34,"Language Requirment","XX","XX","33",,,3,"","",4.0,1,3.0,3
35,"Language Requirment","XX","XX","34",,,3,"","",3.0,0,3.0,0
36,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
40,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
41,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
42,"General Eduation","XX","XX",,,,3,"","",1.0,0,1.0,0
