Curriculum,Computer Science,,,,,,,,
Insitution,San Francisco State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,MATH,226,,,,4,,
2,Calculus II,MATH,227,1,,,4,,
3,Probabilitiy and Statistics with Computing,MATH,324,2,,,3,,
4,Linear Algebra,MATH,325,2,,,3,,
5,General Physics with Calculus I,PHYS,220,1,2,6,3,,
6,General Physics with Calculus I Lab,PHYS,222,,,,1,,
7,General Physics with Calculus II,PHYS,230,5;2,,8,3,,
8,General Physics with Calculus II Lab,PHYS,232,,,,1,,
9,Introduction to Computer Programming,CSC,210,,,10,3,,
10,Introduction to Software Lab,CSC,211,,,,1,,
11,Data Structures,CSC,220,9,,,3,,
12,Discrete Mathematical Structures for Computer Science,CSC,230,9;2,,,3,,
13,Machine Structures,CSC,256,12,,,3,,
14,"Ethics, Communication, and Tools for Software - GWAR",CSC,300GW,9,,,3,,
15,Introduction to Web Software Development,CSC,317,11,,,3,,
16,Programming Methodolgy,CSC,340,11;12,,,3,,
17,Software Development,CSC,413,11,,,3,,
18,Operating System Principles,CSC,415,13;16;3;7,,,3,,
19,Analysis of algorithms I,CSC,510,16;3,,,3,,
20,Programming Paradigms and Languages,CSC,600,17;19,,,3,,
21,Software Engineering,CSC,648,15;17,,,3,,
22,UNIX Programming (CS Elective),CSC,615,18,,,3,,
23,Human Computer Interaction (CS Elective),CSC,642,17,,,3,,
24,Computer Organization (CS Elective),CSC,656,18,,,3,,
25,Advanced Object Oriented Software Design and Development (CS Elective),CSC,668,17,,,3,,
26,Oral Communication ,XX,XX,,,,3,,
27,Written English Communication,XX,XX,,,,3,,
28,Critial Thinking,XX,XX,,,,3,,
29,Life Science,XX,XX,,,,3,,
30,Arts,XX,XX,,,,3,,
31,Humanitites,XX,XX,,,,3,,
32,Arts or Humanities,XX,XX,,,,2,,
33,Social Sciences,XX,XX,,,,3,,
34,Social Sciences: US History,XX,XX,,,,3,,
35,Lifelong Learning and Self Development,XX,XX,,,,3,,
36,Physical or Life Science,XX,XX,,,,2,,
37,Arts or Humanities,XX,XX,,,,3,,
38,Socal Sciences,XX,XX,,,,3,,
39,American Ethnic and Racial Minorites,XX,XX,,,,3,,
40,Enviormental Sustanibility,XX,XX,,,,3,,
41,Global Perspectives,XX,XX,,,,3,,
42,Social Justice,XX,XX,,,,3,,
