Curriculum,Computer Science,,,,,,,,
Insitution,San Jose State,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,GE Area A,XX,XX,,,,3,,
2,GE Area A,XX,XX,,,,3,,
3,GE Area A,XX,XX,,,,3,,
4,GE Area C,XX,XX,,,,3,,
5,GE Area C,XX,XX,,,,3,,
6,GE Area C,XX,XX,,,,3,,
7,GE Area E,XX,XX,,,,3,,
8,GE Area F,XX,XX,,,,3,,
9,SJSU Studies Area R,XX,XX,,,,3,,
10,SJSU Studies Area S,XX,XX,,,,3,,
11,Physical Eduation GE,XX,XX,,,,2,,
12,Calculus I,MATH,30,,,,3,,
13,Calculus II,MATH,31,12,,,4,,
14,Discrete Mathematics,MATH,42,,,,3,,
15,Linear Algebra,MATH,39,13,,,3,,
16,"Computers, Ethics and Society",PHIL,134,,,,3,,
17,Calculus III (Math Elective),MATH,32,13,,,3,,
18,Priniples of Biology I,BIOL,30,20,,,4,,
19,Priniples of Biology II,BIOL,31,18,,,4,,
20,First-Year Writing,ENGL,1A,,,,3,,
21,Introduction to Programming,CS,46A,,,,4,,
22,Introduction to Data Structures,CS,46B,21,,,4,,
23,Introduction to Computer Systems,CS,47,14;22,,,3,,
24,Data Structures and Algorithms,CS,146,12;14;22;39,,,3,,
25,Computer Architecture,CS,147,23,,,3,,
26,Operating Systems,CS,149,23,,,3,,
27,Object Oriented Design,CS,151,14;22;39,,,3,,
28,Programming Paradigms,CS,152,27,,,3,,
29,Formal Languages and Computability,CS,154,14;22,,,3,,
30,Introduction to Database <amagement Systems,CS,157A,24,,,3,,
31,Software Engineering,CS,160,24;27,,,3,,
32,Information Security,CS,166,24;23,,,3,,
33,Concepts of Compiler Design (CS/Math Elective),CS,153,24;29,,,3,,
34,Introduction to Machine Learning (CS/Math Elective),CS,171,24,,,3,,
35,Software Project (CS/Math Elective),CS,161,31,,,3,,
36,Introduction to Combinatorics (CS/Math Elective),MATH,142,13;14,,,3,,
37,Linear and Non Linear Optimization (CS/Math Elective),MATH,177,14;15,,,3,,
38,Free Elective,XX,XX,,,,4,,
39,Applied Algorithms,CS,48,,,,1,,
