Curriculum,Computer Science,,,,,,,,
Insitution,Stony Brook University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Applied Calculus I,AMS,151,,,,3,,
2,Applied Calculus II,AMS,161,1,,,3,,
3,Finite Mathematical Structures (Math Elective),AMS,301,4,,,3,,
4,Introduction to Linear Algebra,MAT,211,1,,,4,,
5,Survey of Probability and Statistics,AMS,310,2,,,3,,
6,Introduction to Object Oriented Programming,CSE,114,,,,4,,
7,Data Structures,CSE,214,6,,,4,,
8,Foundations of Computer Science,CSE,215,1,,,4,,
9,Programming Abstractions,CSE,216,7,,,4,,
10,Systems Fundamentals I,CSE,220,7,,,4,,
11,Introduction to the Theory of Computation,CSE,303,7;8,,,3,,
12,Computer Networks,CSE,310,7;10,,,3,,
13,Fundamentals of Software Development,CSE,316,9,,,3,,
14,System Fundamentals II,CSE,320,10,,,3,,
15,Analysis of Algorithms ,CSE,373,4;7,,,3,,
16,Software Engineering,CSE,416,13,,,3,,
17,User Interface Development (Upper Division CSE Elective),CSE,333,7,,,3,,
18,Human Computer Interaction (Upper Division CSE Elective),CSE,323,7,,,3,,
19,Software Security (Upper Division CSE Elective),CSE,360,10,,,3,,
20,Cloud Computing (Upper Division CSE Elective),CSE,356,9;10,,,3,,
21,"Legal, Social, Ethical Issies in Information Systems",CSE,312,,,,3,,
22,Technical Communications,CSE,300,26,,,3,,
23,Geberal Chemisty (Science Elective),CHE,131,,4,25,4,,
24,General Chemisty Lab (Science Elective Lab),CHE,133,23,4,,1,,
25,General Chemisty II (Natural Science Elective),CHE,132,,,,4,,
26,Intermediate Writing Workshop,WRT,102,,,,3,,
27,General Elective,XX,XX,,,,3,,
28,General Elective,XX,XX,,,,3,,
29,General Elective,XX,XX,,,,3,,
30,General Elective,XX,XX,,,,3,,
31,General Elective,XX,XX,,,,3,,
32,General Elective,XX,XX,,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
