Curriculum,Computer Science,,,,,,,,
Insitution,Texas A&M,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,General Chemistry for Engineering Students,CHEM,107,,,2,3,,
2,General Chemistry for Engineering Student Lab,CHEM,117,,,,1,,
3,Introdution to Rhetoric and Composition,ENGL,103,,,,3,,
4,Engineering Lab I - Computation,ENGR,102,,5,,2,,
5,Engineering Mathematics I,MATH,151,,,,4,,
6,University Core Curriculum,XX,XX,,,,3,,
7,Engineering Lab II - Mechanics,ENGR,216,5;4,9,,2,,
8,Engineering Mathematics II,MATH,152,5,,,4,,
9,Newtonian Mechanics for Engineering and Science,PHYS,206,5,,,3,,
10,University Core Curriculum,XX,XX,,,,3,,
11,University Core Curriculum,XX,XX,,,,3,,
12,Introducation to Computing,CSCE,181,,,,1,,
13,Program Design and Concepts,CSCE,120,4,,,3,,
14,Discrete Structures for Computing,CSCE,222,5,,,3,,
15,Linear Algebra,MATH,304,8,,,3,,
16,Science Elective,XX,XX,,,,4,,
17,General Elective,XX,XX,,,,1,,
18,Data Structures and Algorithms,CSCE,221,13,14,,4,,
19,Computer Organization,CSCE,312,,18,,4,,
20,Programming Languages,CSCE,314,,18,,3,,
21,Public Speaking,COMM,203,,,,3,,
22,Emphasis Area Elective,XX,XX,,,,3,,
23,Introducation to Computer Systems,CSCE,313,18,19,,4,,
24,Foundations of Software Engineering,CSCE,331,20,23,,4,,
25,Principles of Statistics I,STAT,211,8,,,3,,
26,University Core Curriculum,XX,XX,,,,3,,
27,Emphasis Area Elective,XX,XX,,,,3,,
28,Design and Analysis of Algorithms,CSCE,411,14;18,,,3,,
29,Seminar,CSCE,481,,,,1,,
30,Engineering Mathematics III,MATH,251,8,,,3,,
31,Database Systems (Computer Science Elective),CSCE,310,18,,,3,,
32,Science Elective,XX,XX,,,,3,,
33,High Impact Experince,CSCE,399,,,,0,,
34,Cloud Computing (Computer Science Elective),CSCE,412,24,,,3,,
35,University Core Curriculum,XX,XX,,,,3,,
36,Artificial Intelligence (Computer Science Elective),CSCE,420,28,,,3,,
37,Security of Embedded Systems (Computer Science Elective),CSCE,426,19,,,3,,
38,Problem Solving Programming Strategies (Computer Science Elective),CSCE,430,28,,,3,,
39,Emphasis Area Elective,XX,XX,,,,3,,
40,Senoir Capstone Design,CSCE,28,,,,3,,
41,University Core Curriculum,XX,XX,,,,3,,
42,University Core Curriculum,XX,XX,,,,3,,
43,Compiler Design (Computer Science Elective),CSCE,434,24,,,3,,
44,Emphasis Area Elective,XX,XX,,,,3,,
