Curriculum,Computer Science,,,,,,,,
Insitution,Texas State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,,,,,,,,,
2,Foundations of Computer Science I,CS,1428,,,,4,,
3,Foundations of Computer Science II,CS,2308,2,,,3,,
4,Assembly Language,CS,2318,3;9,,,3,,
5,Calculus I,MATH,2471,,,,4,,
6,Calculus II,MATH,2472,5,,,4,,
7,Mechanics,PHYS,1430,,6,,4,,
8,Electricity and Magnetism,PHYS,2425,7;6,,,4,,
9,Discrete Mathematics I,MATH,2358,5,,,3,,
10,Technical Writing,ENG,3303,11,,,3,,
11,College Writing I,ENG,1310,,,,3,,
12,University Seminar,US,1100,,,,1,,
13,Fundamentals of Human Communication,COMM,1310,,,,3,,
14,Philosophy and Critical Thinking,PHIL,1305,,,,3,,
15,Government/Political Science,XX,XX,,,,3,,
16,Data Structures and Algorithms,CS,3358,3;9,,,3,,
17,Discrete Mathematics II,MATH,3398,9,,,3,,
18,Life and Physical Sciences,XX,XX,,,,4,,
19,Computer Ethics,CS,2315,2;13;11;14,,,3,,
20,Object-Oriented Programming,CS,3354,16,,,3,,
21,Life and Physical Sciences,XX,XX,,,,4,,
22,Social and Beavioral Sciences,XX,XX,,,,3,,
23,Free Elective,XX,XX,,,,3,,
24,Computer Architecture,CS,3339,3;4,,,3,,
25,Software Engineering,CS,3398,20;16;19,,,3,,
26,Life and Physical Sciences,XX,XX,,,,4,,
27,American History Component,XX,XX,,,,3,,
28,Computing System Fundamentals,CS,3360,4;9,,,3,,
29,Internet Software Development (CS Elective),CS,3320,3,,,3,,
30,Embedded Computer Systems (CS Elective),CS,3369,4,,,3,,
31,Introduction to Probability and Statistics,MATH,3305,6,,,3,,
32,American History Component,XX,XX,,,,3,,
33,Computer System Security,CS,4371,16,,,3,,
34,Software Testing (CS Elective),CS,3393,16,,,3,,
35,,,,,,,,,
36,Creative Arts,XX,XX,,,,3,,
37,Free Elective,XX,XX,,,,3,,
38,Introduction to Data Mining and Information Retrival (CS Elective),CS,4315,16,,,3,,
39,,,,,,,,,
40,Software Engineering Project (Computer Science Project),CS,4398,25,,,3,,
