Curriculum,Texas_State_CS,,,,,,,,,
Institution,"Texas State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
2,"Foundations of Computer Science I","CS","1428",,,,4,"","",20.0,14,6.0,0
3,"Foundations of Computer Science II","CS","2308","2",,,3,"","",18.0,12,6.0,41
4,"Assembly Language","CS","2318","9;3",,,3,"","",7.0,3,4.0,24
5,"Calculus I","MATH","2471",,,,4,"","",23.0,17,6.0,0
6,"Calculus II","MATH","2472","5",,,4,"","",7.0,3,4.0,10
7,"Mechanics","PHYS","1430",,"6",,4,"","",5.0,1,4.0,4
8,"Electricity and Magnetism","PHYS","2425","6;7",,,4,"","",4.0,0,4.0,0
9,"Discrete Mathematics I","MATH","2358","5",,,3,"","",18.0,12,6.0,41
10,"Technical Writing","ENG","3303","11",,,3,"","",2.0,0,2.0,0
11,"College Writing I","ENG","1310",,,,3,"","",8.0,4,4.0,0
12,"University Seminar","US","1100",,,,1,"","",1.0,0,1.0,0
13,"Fundamentals of Human Communication","COMM","1310",,,,3,"","",7.0,3,4.0,0
14,"Philosophy and Critical Thinking","PHIL","1305",,,,3,"","",7.0,3,4.0,0
15,"Government/Political Science","XX","XX",,,,3,"","",1.0,0,1.0,0
16,"Data Structures and Algorithms","CS","3358","9;3",,,3,"","",12.0,6,6.0,46
17,"Discrete Mathematics II","MATH","3398","9",,,3,"","",3.0,0,3.0,0
18,"Life and Physical Sciences","XX","XX",,,,4,"","",1.0,0,1.0,0
19,"Computer Ethics","CS","2315","13;2;11;14",,,3,"","",6.0,2,4.0,16
20,"Object-Oriented Programming","CS","3354","16",,,3,"","",8.0,2,6.0,12
21,"Life and Physical Sciences","XX","XX",,,,4,"","",1.0,0,1.0,0
22,"Social and Beavioral Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
23,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
24,"Computer Architecture","CS","3339","4;3",,,3,"","",4.0,0,4.0,0
25,"Software Engineering","CS","3398","16;20;19",,,3,"","",7.0,1,6.0,38
26,"Life and Physical Sciences","XX","XX",,,,4,"","",1.0,0,1.0,0
27,"American History Component","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"Computing System Fundamentals","CS","3360","4;9",,,3,"","",4.0,0,4.0,0
29,"Internet Software Development (CS Elective)","CS","3320","3",,,3,"","",3.0,0,3.0,0
30,"Embedded Computer Systems (CS Elective)","CS","3369","4",,,3,"","",4.0,0,4.0,0
31,"Introduction to Probability and Statistics","MATH","3305","6",,,3,"","",3.0,0,3.0,0
32,"American History Component","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Computer System Security","CS","4371","16",,,3,"","",4.0,0,4.0,0
34,"Software Testing (CS Elective)","CS","3393","16",,,3,"","",4.0,0,4.0,0
36,"Creative Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"Introduction to Data Mining and Information Retrival (CS Elective)","CS","4315","16",,,3,"","",4.0,0,4.0,0
40,"Software Engineering Project (Computer Science Project)","CS","4398","25",,,3,"","",6.0,0,6.0,0
