Curriculum,Computer Science,,,,,,,,
Insitution,UC-Riverside,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,C++ Programming 1,CS,010A,,4,,4,,CS 1
2,Beginning Comp,ENGL,001A,,,,4,,
3,Professional Dev,ENGR,001I,,,,1,,
4,Calculus I,MATH,009A,,,,4,,
5,C++ Programming 2,CS,010B,1,,,4,,
6,Intermediate Comp,ENGL,001B,2,,,4,,
7,Calculus I,MATH,009B,4,,,4,,
8,Discrete Structures,CS,11,1;4,,,4,,CS 2
9,Intro to Discrete Structures,CS,010C,5,,,4,,
10,Calculus I,MATH,009C,7,,,4,,
11,Human/Social,Breadth,1,,,,4,,
12,Machine Org & Assembly,CS,61,1,,,4,,
13,Software Construction,CS,100,7,,,5,,
14,Physics,PHYS,040A,4,,,5,,
15,Human/Social,Breadth,2,,,,4,,
16,Logic Design,CS,120A,12,,,5,,
17,Discrete Structures,CS,111,1,,,4,,
18,Physics,PHYS,040B,4;14,,,5,,
19,Human/Social,Breadth,3,,,,4,,
20,Probability and Stats,STAT,155,7,,,4,,
21,Physics,PHYS,040C,4;18,,,5,,
22,Human/Social,Breadth,4,,,,4,,
23,Intermediate Data Structures,CS,141,9;7;17,,,4,,
24,Design of Comp Systsems,CS,161,16,,,4,,
25,Multivariable Calc,MATH ,010A,7,,,4,,
26,Human/Social,Breadth,5,,,,4,,
27,Theory of Automata,CS,150,17;10;,,,4,,
28,Linear Algebra,MATH,31,7;25,,,5,,
29,Technical Elective,CS,110,13,,,4,,
30,Professional Dev,ENGR,101,,,,1,,
31,Ouside Engineering,MATH,46,7,,,4,,
32,Technical Communications,ENGR,180W,,,,4,,
33,Design of Operating Systems,CS,153,12;13;17,,,4,,
34,CS Project,CS,179(E-Z),17,,,4,,
35,Tech Elective,CS,135,13,,,4,,
36,Bio,BIO,2,,,,4,,
37,Tech Elective,CS,130,13;28,,,4,,
38,Tech Elective,CS,160,12;13;17,,,4,,
39,Compiler Design,CS,152,12;17;13;10,,,4,,
40,Human/Social,Breadth,6,,,,4,,
41,Tech Elective,CS,171,25;28;20;13,,,4,,
42,Tech Elective,CS,181,12;13;17;27,,,4,,
43,Tech Elective,CS,165,23;33,,,4,,
44,Elective,,,,,,4,,
45,Elective,,,,,,4,,
