Curriculum,Computer Science,,,,,,,,
Insitution,University of Geogria,,,,,,,,
Degree Type,CS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Software Development,CSCI,1302,2,,,4,,
2,Introduction to Computing and Programming,CSCI,1301,,,,4,,
3,Theory of Computation,CSCI,2670,4,,,4,,
4,Discrete Mathematics for Computer Science,CSCI,2610,,,,4,,
5,Data Structures,CSCI,2720,1;4,,,4,,
6,Systems Programming,CSCI,1730,2,1,,4,,
7,Calculus I,MATH,2250,,,,4,,
8,"Computing, Ethics, and Society",CSCI,3030,19,,,3,,
9,Computer Architecture,CSCI,4720,3;6,,,4,,
10,Algorithms,CSCI,4470,5;3,,,4,,
11,Software Engineering,CSCI,4050,5,,,4,,
12,Compilers,CSCI,4570,9,,,4,,
13,Programming Languages (CS Elective),CSCI,4500,1,5,,4,,
14,Functional Programming,CSCI,4520,5;4,,,4,,
15,Human Computer interaction (CS Elective),CSCI,4800,1,,,4,,
16,Introduction to Computational Science,CSCI,2150,,,,4,,
17,Introductory Statistics,STAT,2000,,,,4,,
18,Calc II (Math Elective),MATH,2260,7,,,4,,
19,First Year Composition I,ENGL,1102,20,,,3,,
20,First Year Composition II,ENGL,1101,,,,3,,
21,Foreign Language I,XX,XX,,,,3,,
22,Foreign Language II,XX,XX,21,,,3,,
23,Foreign Language III,XX,XX,22,,,3,,
24,Literature Requirement,XX,XX,,,,3,,
25,Fine Arts Requirement,XX,XX,,,,3,,
26,Fine Arts Requirement,XX,XX,,,,3,,
27,History Requirement,XX,XX,,,,3,,
28,Social Science,XX,XX,,,,3,,
29,Social Science,XX,XX,,,,3,,
30,Biological Sciences Requirement,XX,XX,,,,3,,
31,Physical Sciences Requirement,XX,XX,,,,3,,
32,Multicultural Requirement,XX,XX,,,,3,,
33,Free Elective,XX,XX,,,,3,,
34,Free Elective,XX,XX,,,,4,,
