Curriculum,U_of_Georgia_CS,,,,,,,,,
Institution,"University of Geogria",,,,,,,,,
Degree Type,"CS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Software Development","CSCI","1302","2",,,4,"","",14.0,9,5.0,27
2,"Introduction to Computing and Programming","CSCI","1301",,,,4,"","",15.0,10,5.0,0
3,"Theory of Computation","CSCI","2670","4",,,4,"","",7.0,3,4.0,7
4,"Discrete Mathematics for Computer Science","CSCI","2610",,,,4,"","",12.0,8,4.0,0
5,"Data Structures","CSCI","2720","4;1",,,4,"","",8.0,4,4.0,28
6,"Systems Programming","CSCI","1730","2","1",,4,"","",7.0,2,5.0,9
7,"Calculus I","MATH","2250",,,,4,"","",3.0,1,2.0,0
8,"Computing, Ethics, and Society","CSCI","3030","19",,,3,"","",3.0,0,3.0,0
9,"Computer Architecture","CSCI","4720","6;3",,,4,"","",6.0,1,5.0,13
10,"Algorithms","CSCI","4470","5;3",,,4,"","",4.0,0,4.0,0
11,"Software Engineering","CSCI","4050","5",,,4,"","",4.0,0,4.0,0
12,"Compilers","CSCI","4570","9",,,4,"","",5.0,0,5.0,0
13,"Programming Languages (CS Elective)","CSCI","4500","1","5",,4,"","",4.0,0,4.0,0
14,"Functional Programming","CSCI","4520","5;4",,,4,"","",4.0,0,4.0,0
15,"Human Computer interaction (CS Elective)","CSCI","4800","1",,,4,"","",3.0,0,3.0,0
16,"Introduction to Computational Science","CSCI","2150",,,,4,"","",1.0,0,1.0,0
17,"Introductory Statistics","STAT","2000",,,,4,"","",1.0,0,1.0,0
18,"Calc II (Math Elective)","MATH","2260","7",,,4,"","",2.0,0,2.0,0
19,"First Year Composition I","ENGL","1102","20",,,3,"","",4.0,1,3.0,3
20,"First Year Composition II","ENGL","1101",,,,3,"","",5.0,2,3.0,0
21,"Foreign Language I","XX","XX",,,,3,"","",5.0,2,3.0,0
22,"Foreign Language II","XX","XX","21",,,3,"","",4.0,1,3.0,3
23,"Foreign Language III","XX","XX","22",,,3,"","",3.0,0,3.0,0
24,"Literature Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
25,"Fine Arts Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"Fine Arts Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
27,"History Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"Social Science","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"Social Science","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"Biological Sciences Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"Physical Sciences Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
32,"Multicultural Requirement","XX","XX",,,,3,"","",1.0,0,1.0,0
33,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
34,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
