Curriculum,UCLA_CS,,,,,,,,,
Institution,"University of California-Los Angeles",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Freshman Computer Science Seminar","Computer Science","1",,,,1,"","",0.7,0,1.0,0
2,"Introduction to Computer Science I","Computer Science","31",,,,4,"","",14.0,15,6.0,0
3,"English Composition Rhetoric and Language","English Composition","3",,,,5,"","",0.7,0,1.0,0
4,"Differential and Integral Calculus","Math","31A",,,,4,"","",12.0,13,5.0,0
5,"Introduction to Computer Science II","Computer Science","32","2",,,4,"","",12.7,13,6.0,46
6,"Integration and Infinite Series","Math","31B","4",,,4,"","",10.7,11,5.0,57
7,"Mechanics","Physics","1A","4;6",,"9",5,"","",5.3,3,5.0,50
8,"Introduction to Computer Organization","Computer Science","33","5",,,5,"","",8.7,7,6.0,25
9,"Calculus of Several Variables","Math","32A","4",,,4,"","",6.7,5,5.0,43
10,"Oscillations, Waves, Electric and Magnetic Fields","Physics","1B","6;7;9",,"13",5,"","",4.7,2,5.0,64
11,"Softwear Construcation Labratory","Computer Science","35L","2",,,3,"","",7.3,6,5.0,17
12,"Logic Design of Digital Systems","Computer Science","M51A",,,,4,"","",2.7,2,2.0,0
13,"Calculus of Several Variables","Math","32B","6;9",,,4,"","",5.3,3,5.0,28
14,"Ethics Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
15,"Linear Algebra and Applications","Math","33A","6",,,4,"","",3.3,1,4.0,4
16,"Introduction to Discrete Structures","Math","61","4;6",,,4,"","",5.3,3,5.0,18
17,"Electrodynamics, Optics, and Special Relativity","Physics","1C","13;7;10;9",,"15",5,"","",3.3,0,5.0,0
18,"Mechanics Laboratory","Physics","4AL","7",,"10",2,"","",3.3,0,5.0,0
19,"Operating Systems Principles","Computer Science","111","5;11;8",,,5,"","",6.0,3,6.0,29
20,"Introductory Digital Design Laboratory","Computer Science","M152A","12",,,2,"","",1.3,0,2.0,0
21,"Differential Equations","Math","33B","6",,,4,"","",2.0,0,3.0,0
22,"GE Elective","XX","XX",,,,5,"","",0.7,0,1.0,0
23,"Computer Network Funamentals","Computer Science","118","19",,,4,"","",4.7,1,6.0,16
24,"Introduction to Algorithms and Complexity","Computer Science","180","5;16",,,4,"","",4.7,2,5.0,26
25,"Science and Technology Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
26,"GE Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
27,"Programming Languages","Computer Science","131","11;8",,,4,"","",4.7,2,5.0,18
28,"Computer Systems Architecture","Computer Science","M151B","12;8",,,4,"","",2.7,0,4.0,0
29,"Probability Elective","Math","XX",,,,5,"","",0.7,0,1.0,0
30,"GE Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
31,"Introduction to Formal Languages and Automata Theory","Computer Science","181","24",,,4,"","",3.3,0,5.0,0
32,"Computer Science Elective (complier construction)","Computer Science","132","27",,,4,"","",3.3,0,5.0,0
33,"Technical Breadth Course","XX","XX",,,,4,"","",0.7,0,1.0,0
34,"GE Elective","XX","XX",,,,5,"","",0.7,0,1.0,0
35,"Softwear Engineering","Computer Science","130","27;19",,,4,"","",3.3,0,5.0,0
36,"Computer Science Elective (Introduction to Computer Secuirty)","Computer Science","136","23",,,4,"","",4.0,0,6.0,0
37,"Technical Breadth Course","XX","XX",,,,4,"","",0.7,0,1.0,0
38,"GE Elective","XX","XX",,,,5,"","",0.7,0,1.0,0
39,"Computer Science Elective (Data Management Systems)","Computer Science","143","5",,,4,"","",3.3,1,4.0,4
40,"Computer Science Elective (Web Applications)","Computer Science","144","39",,,4,"","",2.7,0,4.0,0
41,"Technical Breadth Course","XX","XX",,,,4,"","",0.7,0,1.0,0
42,"Computer Science Elective (Fundamentals of Artifical Intelligence)","Computer Science","161","24",,,4,"","",3.3,0,5.0,0
43,"Science and Technology Elective","XX","XX",,,,4,"","",0.7,0,1.0,0
44,"Technical Breadth Course","XX","XX",,,,4,"","",0.7,0,1.0,0
45,"GE Elective","XX","XX",,,,2,"","",0.7,0,1.0,0
