Curriculum,Computer Science,,,,,,,,,
Insitution,University of Washington,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,quarter,,,,,,,,,
CIP,11.07,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Note
1,English Composition,ENGL,109,,,,5,,,must be taken if transfering in
2,UW Diversity Requirement,XXX,XXX,,,,3,,,
3,Calculus with Analytic Geometry I,Math,124,,,,5,,calc 1,must be taken if transfering in
4,Calculus with Analytic Geometry II ,Math,125,3,,,5,,calc 2,must be taken if transfering in
5,Calculus with Analytic Geometry III,Math,126,4,,,5,,calc 3,must be taken if transfering in
6,Matrix Algebra with Applications,Math,208,5,,,3,,linear algebra,
7,(Natural Scince Req)  Introductory Biology,Biol,180,,,,5,,,must be taken if transfering in
8,Introduction to Computer Programming III,CSE,123,,,,4,,,must be taken if transfering in
9,Foundations of Computing I ,CSE,311,8;5,,,4,,CS 1,
10,Foundations of Computing II,CSE,312,9,,,4,,CS 2,
11,Software Design and Implementation,CSE,331,8,,,4,,,
12,Data Structures and Parallelism,CSE,332,9,,,4,,,
13,The Hardware/Software Interface,CSE,351,8,,,4,,,
14,(CSE 400 elective 1) Intro to Analysis of Algorithms,CSE,421,10;12,,,3,,,
15,(CSE 400 elective 2) Toolkit for Modern Algorithms,CSE,422,10;12;6,,,3,,,
16,(CSE 400 elective 3) Cryptography,CSE,426,10,,,4,,,
17,(CSE 400 elective 4) Introduction to Database Systems,CSE,414,8,,,4,,,
18,(CSE 300/400 elective 1) Introduction to Digital Design,CSE,369,9,,,3,,,
19,(CSE 300/400 elective 2) Design and Implementation of Domain-Specific Languages,CSE,402,12;13,,,4,,,
20,(CSE capstone or core course) Capstone Software Design,CSE,481,10;12;13;18,,,5,,,
21,(additional CSE courses) Systems Programming,CSE,333,13,,,3,,,
22,(additional CSE courses) Introduction to Data Mangement,CSE,344,9,,,4,,,
23,Forign Language through 3rd quarter,XXX,XXX,,,,5,,,
24,Forign Language through 3rd quarter,XXX,XXX,,,,5,,,
25,Forign Language through 3rd quarter,XXX,XXX,,,,5,,,
26,Social Sciences,XXX,XXX,,,,3,,,
27,Social Sciences,XXX,XXX,,,,3,,,
28,Social Sciences,XXX,XXX,,,,3,,,
29,Social Sciences,XXX,XXX,,,,3,,,
30,Social Sciences,XXX,XXX,,,,4,,,
31,Social Sciences,XXX,XXX,,,,4,,,
32,Other Electives,XXX,XXX,,,,3,,,
33,Other Electives,XXX,XXX,,,,3,,,
34,Other Electives,XXX,XXX,,,,3,,,
35,Other Electives,XXX,XXX,,,,3,,,
36,Other Electives,XXX,XXX,,,,3,,,
37,Other Electives,XXX,XXX,,,,3,,,
38,Other Electives,XXX,XXX,,,,3,,,
39,Other Electives,XXX,XXX,,,,3,,,
40,Other Electives,XXX,XXX,,,,3,,,
41,Other Electives,XXX,XXX,,,,3,,,
42,Other Electives,XXX,XXX,,,,3,,,
43,Other Electives,XXX,XXX,,,,3,,,
44,Other Electives,XXX,XXX,,,,3,,,
45,Other Electives,XXX,XXX,,,,3,,,
46,Other Electives,XXX,XXX,,,,3,,,
47,Other Electives,XXX,XXX,,,,3,,,
48,Other Electives,XXX,XXX,,,,3,,,
49,Other Electives,XXX,XXX,,,,3,,,
50,Other Electives,XXX,XXX,,,,3,,,
