Curriculum,"Computer Science Software, Systems, and Networks Concentration",,,,,,,,
Insitution,University of North Carolina Charlotte,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,MATH,1241,,,,3,,
2,Calculus II,MATH,1242,1,,,3,,
3,Introduction to Computer Science I,ITSC,1212,,,,4,,
4,Introduction to Computer Science II,ITSC,1213,3,1,,4,,
5,Computing Professionals,ITSC,1600,,,,2,,
6,Logic and Algorithms,ITSC,2175,3;1,,,3,,
7,Introduction to Computer Systems,ITSC,2181,3,,,4,,
8,Data Structures and Algorithms,ITSC,2214,4,,,3,,
9,Introduction to Operating Systems and Networking,ITSC,3146,7;8,,,3,,
10,Software Engineering,ITSC,3155,8,,,3,,
11,Computers and their Impact on Society,ITSC,3688,,,,3,,
12,Matrices and Linear Algebra,MATH,2164,1,,,3,,
13,Introduction to Probability and Statistics,STAT,2122,2,,,3,,
14,Non CS Elective,XX,XX,,,,3,,
15,Non CS Elective,XX,XX,,,,3,,
16,Non CS Elective,XX,XX,,,,3,,
17,Non CS Elective,XX,XX,,,,3,,
18,Non CS Elective,XX,XX,,,,3,,
19,Software Development Projects (Capstone Course),ITSC,4155,8;10,,,3,,
20,Parallel and Distributed Computing (Software Concentration),ITCS,3145,8;9,,,3,,
21,Introduction to Computer Networks (Software Concentration),ITCS,3166,4,,,3,,
22,Design and Implementation of Object Oriented Systems  (Software Concentration),ITCS,3112,8,,,3,,
23,Programming Languages (Software Concentration),ITCS,4102,8,,,3,,
24,Dtabase Design and Implementation (Software Concentration),ITCS,3160,4,,,3,,
25,Mobile Application Development (CS Elective),ITCS,4180,8,,,3,,
26,Operating Systems (CS Elective),ITCS,3143,8,,,3,,
27,General Elective,XX,XX,,,,3,,
28,General Elective,XX,XX,,,,3,,
29,General Elective,XX,XX,,,,3,,
30,General Elective,XX,XX,,,,3,,
31,General Elective,XX,XX,,,,3,,
32,General Elective,XX,XX,,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
38,General Elective,XX,XX,,,,3,,
39,General Elective,XX,XX,,,,4,,
