Curriculum,Computer Science,,,,,,,,
Insitution,University of Centeral Florida,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus w/ Analytic Geometry I,MAC,2311,,,,4,,
2,Calculus w/ Analytic Geometry II,MAC,2312,1,,,4,,
3,Statistical Methods I,STA,2023,1,,,3,,
4,Physics for Engr. & Sci. I,PHY,2048C,1,,,4,,
5,Physics for Engr. & Sci. II,PHY,2049C,4;2,,,4,,
6,Sciece Course,XX,XX,,,,3,,
7,Sciece Course,XX,XX,,,,3,,
8,Technical Report Writing,ENC,3241,32,,,3,,
9,Secuirty in Computing,CIS,3360,11,,,3,,
10,Computer Logic and Organization,CDA,3103,11,,,3,,
11,Intro to Programming with C,COP,3223,29,,,3,,
12,Intro to OO Programming with Java,COP,3330,11,,,3,,
13,Computer Science I,COP,3502,11,,,3,,
14,Computer Science II,COP,3503,13;12;15,,,3,,
15,Intro to Discrete Structure,COT,3100,1,,,3,,
16,CS Foundation Exam,COT,3960,13,,,0,,
17,Procs for OO Development,COP,4331,14,,,3,,
18,Discrete Computation Structures,COT,4210,14;2;16,,,3,,
19,Senoir Design I,COP,4934,14;30,17,,3,,
20,Senoir Design II,COP,4935,19,,,3,,
21,Algorithms for Machine Learning (CS Elective),CAP,4611,13;3,,,3,,
22,natural Language Processing (CS Elective),CAP,4641,14,,,3,,
23,Software Engineering (CS Elective),CEN,5016,17,,,3,,
24,Analysis of Computer Communication Networks (CS Elective),CNT,4704,15;3,,,3,,
25,Problem Solving Techniques and Team Dynamics (CS Elective),COP,4516C,14,,,3,,
26,Database Systems (CS Elective),COP,4710,14,,,3,,
27,Calculus with Analytics Geometry III (Math Elective),MAC,2313,2,,,3,,
28,Introduction to Graph Theory (Math Elective),MAD,4301,15,,,3,,
29,Concepts in Computer Science,COP,2500,,,,3,,
30,Systems Software,COP,3402,10;13,,,3,,
31,Composition I,ENC,1101,,,,3,,
32,Composition II,ENC,1102,31,,,3,,
33,Communication General ED,XX,XX,,,,3,,
34,Historical and Culture Foundation General Ed,XX,XX,,,,3,,
35,Historical and Culture Foundation General Ed,XX,XX,,,,3,,
36,Historical and Culture Foundation General Ed,XX,XX,,,,3,,
37,Social Foundation,XX,XX,,,,3,,
38,Social Foundation,XX,XX,,,,3,,
39,Free Elective,XX,XX,,,,3,,
40,Free Elective,XX,XX,,,,2,,
