Curriculum,Computer Science,,,,,,,,
Insitution,University of Illinois Chicago,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Academic Writing I: Writing in Academic and Public Contexts,ENGL,160,,,,3,,
2,Academic Writing II: Writing for Inquiry and Research,ENGL,161,,,,3,,
3,Exploring World Culture Elective,XX,XX,,,,3,,
4,Understanding the Creative Arts Elective,XX,XX,,,,3,,
5,Understaning the Past Elective,XX,XX,,,,3,,
6,Understanding the Indivual and Society Elective,XX,XX,,,,3,,
7,Understanding US Society Elective,XX,XX,,,,3,,
8,Humanties Elective,XX,XX,,,,3,,
9,Humanties Elective,XX,XX,,,,3,,
10,Calculus I,MATH,180,,,,4,,
11,Calculus II,MATH,181,10,,,4,,
12,Calculus III,MATH,210,11,,,3,,
13,Science Elective,XX,XX,,,,4,,
14,Science Elective,XX,XX,,,,4,,
15,Engineering Orientation,ENGR,100,,,,1,,
16,Programing Design I,CS,111,,,,3,,
17,Programming Design II,CS,141,16,10,,3,,
18,Mathematical Foundations of Computing,CS,151,10;16,,,3,,
19,Programming Practicum,CS,211,17,,,3,,
20,Data Structures,CS,251,17;18,19,,4,,
21,Machine Organization,CS,261,17,19,,4,,
22,Technical and Professional Comminication in Computer Science,CS,277,17,,,3,,
23,Languages and Automata,CS,301,18,20,,3,,
24,Programming Language Design and Implementation,CS,341,19;20;21,,,3,,
25,Software Design,CS,342,20;19,,,3,,
26,Systems Programming,CS,361,20;19;21,,,4,,
27,Computer Design,CS,362,19;21,,,4,,
28,Ethical Issues in Computing,CS,377,,20,,3,,
29,Computer Algorithms I,CS,401,20,,,3,,
30,Professional Development Seminar,CS,499,,,,0,,
31,Algorithms in Practice (Technical Elective - CS),CS,402,29,,,3,,
32,Natural Language Processing (Technical Elective - CS),CS,421,23,,,3,,
33,Software Engineering I (Technical Elective - CS),CS,440,25,,,3,,
34,"	Introduction to Networking (Technical Elective - CS)",CS,450,26,,,3,,
35,Operating Systems Design and Implementation (Technical Elective - CS),CS,461,26,,,3,,
36,Numerical Analysis (Technical Elective),MCS,471,16,,,3,,
37,Probaility and Statistics for Engineers (Math Elective),IE,342,11,,,3,,
38,Introduction to Advanced Mathematics (Math Elective),MATH,215,11,,,3,,
39,Formal Logic I,MATH,430,38,,,3,,
40,General Elective,XX,XX,,,,3,,
41,General Elective,XX,XX,,,,3,,
42,General Elective,XX,XX,,,,3,,
