Curriculum,University_Of_Illinois_Urbana_Champaign,,,,,,,,,
Institution,"University of Illinois Urbana-Champaign",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Computer Science Orientation","CS","100",,,,1,"","",1.0,0,1.0,0
2,"Intro to Computer Science I","CS","124",,,,3,"","",25.0,19,6.0,0
3,"Calculus I","MATH","221",,,,4,"","",32.0,26,6.0,0
4,"Engineering Orientation","ENG","100",,,,1,"","",1.0,0,1.0,0
5,"Writing and Research","RHET","105",,,,4,"","",1.0,0,1.0,0
6,"Fundamentals of Env Sci","NRES","100",,,,3,"","",1.0,0,1.0,0
7,"Intro to Computer Science II","CS","128","2",,,3,"","",21.0,15,6.0,67
8,"Discret Structures","CS","173","2;3",,,3,"","",22.0,16,6.0,132
9,"Calculus II","MATH","231","3",,,3,"","",9.0,5,4.0,16
10,"Foundations of Research","GLBL","200",,,,3,"","",1.0,0,1.0,0
11,"Intro to Applied Statistics","CPSC","241",,,,3,"","",4.0,2,2.0,0
12,"Software Design Lab","CS","222","7","13",,1,"","",8.0,2,6.0,23
13,"Data Structures","CS","225","7;8",,,4,"","",20.0,14,6.0,162
14,"Calculus III","MATH","241","9",,,4,"","",7.0,3,4.0,12
15,"University Physics: Mechanics","PHYS","211","9",,,4,"","",5.0,1,4.0,4
16,"Web Design Fundamentals","IS","229",,,,3,"","",1.0,0,1.0,0
17,"Computer Architecture","CS","233","7;8","13",,4,"","",7.0,2,5.0,54
18,"Probability & Statistics for Computer Science","CS","361","13;3",,,3,"","",7.0,2,5.0,36
19,"Linear Algebra with Computational Applications","MATH","257","3",,,3,"","",6.0,3,3.0,9
20,"University Physics: Elec & Mag","PHYS","212","15;14",,,4,"","",4.0,0,4.0,0
21,"Database Systems","CS","411","13",,,3,"","",4.0,0,4.0,0
22,"Ethical & Professional Issues","CS","210","13",,,2,"","",4.0,0,4.0,0
23,"System Programming","CS","341","13;17",,,4,"","",5.0,0,5.0,0
24,"Numerical Methods I","CS","357","2;19",,,3,"","",3.0,0,3.0,0
25,"Software Engineering I","CS","427","12",,,3,"","",7.0,1,6.0,23
26,"Introduction to Computer Systems","CS","340","13",,,4,"","",4.0,0,4.0,0
27,"Introduction to Algorithms & Models of Computation","CS","374","8",,,4,"","",5.0,1,4.0,8
28,"Software Engineering II","CS","428","25",,,3,"","",6.0,0,6.0,0
29,"Senior Project I","CS","492",,,,3,"","",1.0,0,1.0,0
30,"Technology and Society","SOC","350",,,,3,"","",1.0,0,1.0,0
31,"Artificial Intelligence","CS","440","13;18",,,3,"","",5.0,0,5.0,0
32,"Programming Languages & Compilers","CS","421","17;19",,,3,"","",5.0,0,5.0,0
33,"Communication Networks","CS","438","11",,,3,"","",2.0,0,2.0,0
34,"Topics in Internet of Things","CS","437","11",,,3,"","",2.0,0,2.0,0
35,"Distributed Systems","CS","425","14",,,3,"","",4.0,0,4.0,0
36,"Formal Software Development Methods","CS","477","13",,,4,"","",4.0,0,4.0,0
37,"Deep Learning Theory","CS","540","19",,,3,"","",3.0,0,3.0,0
38,"Algorithms","CS","573","27;18",,,3,"","",5.0,0,5.0,0
39,"Virtual Reality","CS","417","13",,,3,"","",4.0,0,4.0,0
40,"Computer Security I","CS","461","14",,,4,"","",4.0,0,4.0,0
41,"Senior Thesis","CS","499",,,,3,"","",1.0,0,1.0,0
