Curriculum,Regis Computer Science BS,,,,,,,,,,,,
Institution,Regis University,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.0701,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Introduction to Programming,CS,210,,,,3,,,22.0,16,6.0,0
2,Data Structures,CS,310,1,,,3,,,21.0,15,6.0,75
3,Algorithms and Analysis,CS,324,2;18,,,3,,,12.0,6,6.0,52
4,Principles of Programming Languages,CS,390,2;18,,,3,,,12.0,6,6.0,52
5,Web and Database Applications,CS,336,2,,,3,,,9.0,4,5.0,14
6,Operating Systems,CS,431,4;3,,,3,,,8.0,2,6.0,44
7,Computer Organization,CS,440,4;3,,,3,,,6.0,1,5.0,20
8,Software Engineering,CS,444,5,,,3,,,6.0,1,5.0,5
9,Intro to AI,CS,473,22;4;3,,,3,,,6.0,1,5.0,25
10,Distributed Systems,CS,469,6,,,3,,,7.0,1,6.0,24
11,Computation Theory,CS,475,4;3,,,3,,,6.0,1,5.0,20
12,Ethical Leadership in CS,CS,479,5,,,3,,,6.0,1,5.0,5
13,Capstone,CS,493,6;7;11;10;9;12;8,,,3,,,6.0,0,6.0,0
14,CS Elective,CS,421,2;18,,,3,,,3.0,0,3.0,0
15,CS Elective,CS,445,2,,,3,,,3.0,0,3.0,0
16,CS Elective,CS,450,5,,,3,,,4.0,0,4.0,0
17,CS Elective,CS,465,2,,,3,,,3.0,0,3.0,0
18,Discrete Math,MT,320,19,,,3,,,15.0,9,6.0,55
19,Calculus 1,MT,360A,,,,4,,,19.0,13,6.0,0
20,Calculus 2,MT,360B,19,,,4,,,8.0,3,5.0,5
21,Linear Algebra,MT,415,19,,,3,,,2.0,0,2.0,0
22,Statistics,MT,472,20,,,3,,,7.0,2,5.0,5
23,1st year writing,RCC,200,,,,3,,,1.0,0,1.0,0
24,Justic and Common Good,RCC,420,,,,3,,,1.0,0,1.0,0
25,Written,COM,210,,,,3,,,1.0,0,1.0,0
26,Arts and Lit Gened,ARTS,101,,,,3,,,1.0,0,1.0,0
27,Arts and Lit Gened,ARTS,102,,,,3,,,1.0,0,1.0,0
28,"Language ",LANG,101,,,,3,,,3.0,1,2.0,0
29,"Language ",LANG,102,28,,,3,,,2.0,0,2.0,0
30,Diversity Gen Ed,DIV,101,,,,3,,,1.0,0,1.0,0
31,Diversity Gen Ed,DIV,102,,,,3,,,1.0,0,1.0,0
32,Sciences GenEd,SCI,101,,,,4,,,1.0,0,1.0,0
33,"Sciences CS, Gen Ed",SCI,102,,,,4,,,1.0,0,1.0,0
34,Philosphical Inquery gen ed,PL,270,,,,3,,,1.0,0,1.0,0
35,Philosphical Inquery gen ed,RCC,430M,,,,3,,,1.0,0,1.0,0
36,Religious Traditions,RT,201,,,,3,,,1.0,0,1.0,0
37,Religious Traditions,RS,201,,,,3,,,1.0,0,1.0,0
38,Elective,ELEC,101,,,,3,,,1.0,0,1.0,0
39,Elective,ELEC,102,,,,2,,,1.0,0,1.0,0
