Curriculum,Computer Science,,,,,,,,
Insitution,University of Minnesota,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I (Pre Major),MATH,1271,,,,4,,
2,Calculus II (Pre Major),MATH,1272,1,,,4,,
3,Discrete Structures of Computer Science (Pre Major),CSCI,2011,1,,,4,,
4,Introduction to Computing and Programming Concepts (Pre Major),CSCI,1133,,1,,4,,
5,Introduction to Algorithms and Data Structures (Pre Major),CSCI,1933,4,,,4,,
6,First Year Experince,CSCI,1001,,,,1,,
7,Introductory Physics for Science and Engineering I,PHYS,1301W,,1,,4,,
8,Soild Earth Dynamics (Science Core Elective),ESCI,2201,,7,,4,,
9,Advanced Programming Principles,CSCI,2041,5;3,,,4,,
10,Program Design and Development,CSCI,3081W,9;15,,,4,,
11,Algorithms and Data Structures,CSCI,4041,5;3,,,4,,
12,Introduction to Operating Systems,CSCI,4061,15,,,4,,
13,Elementary Computational Linear Algebra,CSCI,2033,1;4,,,4,,
14,Introduction to Probability and Statistics,STAT,3021,1,,,3,,
15,Machine Architecture and Organization,CSCI,2021,5,,,4,,
16,Ethics in Computing,CSCI,3923,,,,1,,
17,Analysis of Numerical Algorithms (Upper Division Math Oriented Requirement),CSCI,5302,13,,,3,,
18,Practice of Database Systems (Technical Elective - CS required),CSCI,4707,11,,,3,,
19,Software Engineering I (Technical Elective - CS required),CSCI,5081,9,,,3,,
20,Developing Secure Software Systems (Technical Elective - CS required),CSCI,4271W,10,,,4,,
21,User Interface Design (Technical Elective - CS required),CSCI,5115,11,,,3,,
22,Softwear Engineering II (Technical Elective),CSCI,5802,19,,,3,,
23,Data Science I: Fundamentals  (Technical Elective),INET,4061,,,,3,,
24,Arts/Humanites GE,XX,XX,,,,3,,
25,Biological Science w/ Lab,XX,XX,,,,4,,
26,Literature GE,XX,XX,,,,3,,
27,Social Science,XX,XX,,,,3,,
28,"Race, Power, and Justice GE",XX,XX,,,,3,,
29,Designated Themes GE,XX,XX,,,,3,,
30,Designated Themes GE,XX,XX,,,,3,,
31,Designated Themes GE,XX,XX,,,,3,,
32,First Year Writing,WRIT,1301,,,,3,,
33,General Elective,XX,XX,,,,3,,
34,General Elective,XX,XX,,,,3,,
35,General Elective,XX,XX,,,,3,,
36,General Elective,XX,XX,,,,3,,
37,General Elective,XX,XX,,,,3,,
