Curriculum,University_of_Minnesota_CS,,,,,,,,,,,,
Institution,University of Minnesota,,,,,,,,,,,,
Degree Type,BS,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,11.07,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Calculus I (Pre Major),MATH,1271,,,,4,,,25,19,6,0
2,Calculus II (Pre Major),MATH,1272,1,,,4,,,2,0,2,0
3,Discrete Structures of Computer Science (Pre Major),CSCI,2011,1,,,4,,,13,8,5,18
4,Introduction to Computing and Programming Concepts (Pre Major),CSCI,1133,,1,,4,,,19,13,6,37
5,Introduction to Algorithms and Data Structures (Pre Major),CSCI,1933,4,,,4,,,16,10,6,33
6,First Year Experince,CSE,1001,,,,1,,,1,0,1,0
7,Introductory Physics for Science and Engineering I,PHYS,1301W,,1,,4,,,4,1,3,3
8,Soild Earth Dynamics (Science Core Elective),ESCI,2201,,7,,4,,,3,0,3,0
9,Advanced Programming Principles,CSCI,2041,5;3,,,4,,,10,4,6,22
10,Program Design and Development,CSCI,3081W,15;9,,,4,,,7,1,6,17
11,Algorithms and Data Structures,CSCI,4041,5;3,,,4,,,7,2,5,18
12,Introduction to Operating Systems,CSCI,4061,15,,,4,,,5,0,5,0
13,Elementary Computational Linear Algebra,CSCI,2033,4;1,,,4,,,5,1,4,7
14,Introduction to Probability and Statistics,STAT,3021,1,,,3,,,2,0,2,0
15,Machine Architecture and Organization,CSCI,2021,5,,,4,,,9,3,6,11
16,Ethics in Computing,CSCI,3923,,,,1,,,1,0,1,0
17,Analysis of Numerical Algorithms (Upper Division Math Oriented Requirement),CSCI,5302,13,,,3,,,4,0,4,0
18,Practice of Database Systems (Technical Elective - CS required),CSCI,4707,11,,,3,,,5,0,5,0
19,Software Engineering I (Technical Elective - CS required),CSCI,5081,9,,,3,,,7,1,6,11
20,Developing Secure Software Systems (Technical Elective - CS required),CSCI,4271W,10,,,4,,,6,0,6,0
21,User Interface Design (Technical Elective - CS required),CSCI,5115,11,,,3,,,5,0,5,0
22,Softwear Engineering II (Technical Elective),CSCI,5802,19,,,3,,,6,0,6,0
23,Data Science I: Fundamentals  (Technical Elective),INET,4061,,,,3,,,1,0,1,0
24,Arts/Humanites GE,XX,XX,,,,3,,,1,0,1,0
25,Biological Science w/ Lab,XX,XX,,,,4,,,1,0,1,0
26,Literature GE,XX,XX,,,,3,,,1,0,1,0
27,Social Science,XX,XX,,,,3,,,1,0,1,0
28,"Race, Power, and Justice GE",XX,XX,,,,3,,,1,0,1,0
29,Designated Themes GE,XX,XX,,,,3,,,1,0,1,0
30,Designated Themes GE,XX,XX,,,,3,,,1,0,1,0
31,Designated Themes GE,XX,XX,,,,3,,,1,0,1,0
32,First Year Writing,WRIT,1301,,,,3,,,1,0,1,0
33,General Elective,XX,XX,,,,3,,,1,0,1,0
34,General Elective,XX,XX,,,,3,,,1,0,1,0
35,General Elective,XX,XX,,,,3,,,1,0,1,0
36,General Elective,XX,XX,,,,3,,,1,0,1,0
37,General Elective,XX,XX,,,,3,,,1,0,1,0
