Curriculum,Computer Science,,,,,,,,
Insitution,University of South Florida,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Engineering Calculus I,MAC,2281,,,,4,,
2,Engineering Calculus II,MAC,2282,1,,,4,,
3,General Physics I - Calculus Based Physics,PHY,2048,,1,4,3,,
4,General Physics I Laboratory,PHY,2048L,,,,1,,
5,General Physics II - Calculus Based,PHY,2049,3,2,6,3,,
6,General Physics II Laboratory,PHY,2049L,,,,1,,
7,Programming Concepts,COP,2510,1,,,3,,
8,Introduction to Discrete Structures,COT,3100,1,,,3,,
9,Foundation of Engineering,EGN,3000,,,,1,,
10,Foundation fo Engineering Lab,EGN,300L,,,,3,,
11,Probability and Statistics for Engineering,EGN,3443,2,,,3,,
12,Introduction to Linear Systems,EGN,4450,2,,,2,,
13,Program Design,COP,3514,7,,,3,,
14,Data Structures,COP,4530,13;16;8,,,3,,
15,Operating Systems,COP,4600,14,,,3,,
16,Computer Organization,CDA,3103,7,,,3,,
17,Computer Logic and Design,CDA,3201,16;13,,18,3,,
18,Computer Logic and Design Lab,CDS,3201L,,,,1,,
19,Computer Architecture,CDA,4205,17,,20,3,,
20,Computer Architecture Lab,CDA,4205L,,,,1,,
21,Software Engineering,CEN,4020,14,,,3,,
22,Analysis of Algorithms,COT,4400,8;14,,,3,,
23,Secure Coding,CNT,4419,14,,,3,,
24,Ethical Issues and Professional Conduct,CIS,4250,,,,3,,
25,Composition I,ENC,1101,,,,3,,
26,Composition II,ENC,1102,25,,,3,,
27,Communication for Engineering,ENC,3246,26,,,3,,
28,Computer Networks I (Software Elective),CNT,4004,13,14,,3,,
29,Programming Languages (Software Elective),COP,4020,14,,,3,,
30,Privacy Preserving and Trustworthy Cyber Infrastructures (Theory Elective),CIS,4212,14,,,3,,
31,Natural Language Processing (CS Elective),CAP,4641,14,,,3,,
32,Compileres (CS Elective),COP,4620,14,,,3,,
33,Database Design (CS Elective),COP,4710,14,,,3,,
34,Software Testing (CS Elective),CEN,4072,7;14,,,3,,
35,Humanities,XX,XX,,,,3,,
36,Socical Sciences,XX,XX,,,,3,,
37,Creative Thnking,XX,XX,,,,3,,
38,Information & Data Literacy,XX,XX,,,,3,,
39,Human & Cultural Diversity,XX,XX,,,,3,,
40,Ethical Reasoning & Civic Engaement,XX,XX,,,,3,,
41,High Impact Practive,XX,XX,,,,3,,
42,Free Elective,XX,XX,,,,3,,
43,Free Elective,XX,XX,,,,3,,
