Curriculum,Computer Science,,,,,,,,
Insitution,University of Texas Alrington,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Rhetoric and Composition I,ENGL,1301,,,,3,,
2,Professional and Technical Communication for Science and Engineering,COMS,2302,1,,,3,,
3,Government of the United States,POLS,2311,,,,3,,
4,State and Local Giverment,POLS,2312,,,,3,,
5,History Elective,XX,XX,,,,3,,
6,History Elective,XX,XX,,,,3,,
7,Social and Behavioral Sciences,XX,XX,,,,3,,
8,Philosophy and Culture Elective,XX,XX,,,,3,,
9,Approved Arts Elective,XX,XX,,,,3,,
10,Student Success,UNIV,1131,,,,1,,
11,Calculus I,MATH,1426,,,,4,,
12,Calculus II,MATH,2425,11,,,4,,
13,General Technical Physics I,PHYS,1443,11,,,4,,
14,General Technical Physics II,PHYS,1444,13,12,,4,,
15,Introduction to Computers and Programming,CSE,1310,,11;10,,3,,
16,Introduction to Computer Science and Engineering,CSE,1106,15,,,1,,
17,Intermediate Programming,CSE,1320,15;11;10,,,3,,
18,Object Oriented Programming,CSE,1325,17,,,3,,
19,Computer Organization and Assembly Language Programming,CSE,2312,17,,,3,,
20,Discrete Structures,CSE,2315,15;11,,,3,,
21,Algorithms and Data Structures,CSE,3318,17;20,,,3,,
22,Engineering Probability,IE,3301,12,,,3,,
23,Programming Languages,CSE,3302,18;19;21,,,3,,
24,Fundamentals of Software Engineering,CSE,3310,17;18;20,,,3,,
25,Professional Practices,CSE,3314,21;2,,,3,,
26,Theoretical Concepts in Computer Science and Engineering,CSE,3315,20,,,3,,
27,Operating Systems,CSE,3320,19,,,3,,
28,Database Systems and File Structures,CSE,3330,18;21,,,3,,
29,Linear Algebra for CSE,CSE,3380,20,,,3,,
30,Artifical Intelligence,CSE,4308,21;22,,,3,,
31,Computer System Design Project I,CSE,4316,24;27,,,3,,
32,Computer System Design Project II,CSE,4317,31,,,3,,
33,Computer Network Organization,CSE,4344,27,,,3,,
34,Compliers for Algorithmic Languages (Forced Elective),CSE,4305,23;26,,,3,,
35,Information Security (Security Elective),CSE,4380,27,,,3,,
36,Calculus III (Approved Math Elective),MATH,2326,12,,,3,,
37,Fundamentals of Machine Learning (Approved Technical Elective),CSE,4309,21;36;22;29,,,3,,
38,Software Testing and Maintenance `(Approved Technical Elective),CSE,4321,24,,,3,,
39,Database Implementation and Theory (Approved Technical Elective),CSE,3330,18;31,,,3,,
40,Parallel Processing (Approved Technical Elective),CSE,4351,27,,,3,,
41,Object Oriented Software Engineering (Approved Technical Elective),CSE,3311,24;21,,,3,,
