Curriculum,U_of_Texas_Dallas_CS,,,,,,,,,
Institution,"University of Texas Dallas",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Rhetoric","RHET","1302",,,,3,"","",9.0,5,4.0,0
2,"Professional and Technical Communication","ECS","3390","1",,,3,"","",8.0,4,4.0,12
3,"Calculus I","MATH","2417",,,,4,"","",20.0,15,5.0,0
4,"Calculus II","MATH","2419","3",,,4,"","",16.0,11,5.0,43
5,"Physics Laboratory I","PHYS","2125",,,,1,"","",7.0,3,4.0,0
6,"Physics Laboratory II","PHYS","2126",,,,1,"","",5.0,2,3.0,0
7,"Mechanics","PHYS","2325","3","5;4",,3,"","",7.0,2,5.0,13
8,"Electromagnetism and Waves","PHYS","2326","4;7","6",,3,"","",6.0,1,5.0,20
9,"Linear Algebra","MATH","2418","3",,,4,"","",2.0,0,2.0,0
10,"Language, Philosophy, and Culture","XX","XX",,,,3,"","",1.0,0,1.0,0
11,"Creative Arts","XX","XX",,,,3,"","",1.0,0,1.0,0
12,"American History","XX","XX",,,,3,"","",1.0,0,1.0,0
13,"American History","XX","XX",,,,3,"","",1.0,0,1.0,0
14,"American Nantional Government","GOVT","2305",,,,3,"","",1.0,0,1.0,0
15,"State and Local Government","GOVT","2306",,,,3,"","",1.0,0,1.0,0
16,"Social and Behavioral Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
17,"Introduction to Engineering and Computer Science","ECS","1100",,,,1,"","",1.0,0,1.0,0
18,"Introduction to Computer Science and Software Engineering","CS","1200",,,,2,"","",1.0,0,1.0,0
19,"Computer Science Lab","CS","1136",,,,1,"","",19.0,13,6.0,0
20,"Programming Fundamentals","CS","1336",,,"19",3,"","",18.0,12,6.0,53
21,"Computer Science I","CS","1337","20",,,3,"","",17.0,11,6.0,53
22,"Discrete Mathematics for Computing","CS","2305",,,,3,"","",22.0,18,4.0,0
23,"Computer Science II","CS","2336","21","22",,3,"","",13.0,7,6.0,62
24,"Computer Architecture","CS","2340","22;21",,,3,"","",8.0,3,5.0,24
25,"Professional Responsibility in Computer Science and Software Engineering","CS","3162","29;28",,,1,"","",6.0,0,6.0,0
26,"Discrete Mathematics for Computing II","CS","3305","22;3",,,3,"","",5.0,2,3.0,12
27,"Probability and Statistics in Computer Science and Software Engineering","CS","3341","22;4",,,3,"","",12.0,7,5.0,61
28,"Data Structures and Introduction to Algorithmic Analysis","CS","3345",,"27",,3,"","",11.0,6,5.0,54
29,"Software Engineering","CS","3354","22;23","2",,3,"","",9.0,3,6.0,51
30,"Systems Programming in UNIX and other Enviroment","CS","3377","23",,,3,"","",5.0,0,5.0,0
31,"Digital Systems Laboratory","CS","4141",,,,1,"","",3.0,1,2.0,0
32,"Programming Language Paradigms","CS","4337","22;24;23",,,3,"","",5.0,0,5.0,0
33,"Digital Logic and Computer Design","CS","4341","24;8","31",,3,"","",5.0,0,5.0,0
34,"Database Systems","CS","4347","28",,,3,"","",5.0,0,5.0,0
35,"Operating Systems Concepts","CS","4348","24;28",,,3,"","",5.0,0,5.0,0
36,"Advanced Algorithm Design and Analysis","CS","4349","26;28",,,3,"","",5.0,0,5.0,0
37,"Automata Theory","CS","4384","26",,,3,"","",3.0,0,3.0,0
38,"Computer Science Project","CS","4485","29;28",,,4,"","",6.0,0,6.0,0
39,"Advanced Java (CS Elective)","CS","4336","23",,,3,"","",5.0,0,5.0,0
40,"Introduction to Machine Learning (CS Elective)","CS","4375","27;28",,,3,"","",5.0,0,5.0,0
41,"Object Oriented Design (CS Elective)","CS","4376","29;23",,,3,"","",6.0,0,6.0,0
42,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
43,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
