Curriculum,Computer Science,,,,,,,,
Insitution,University of Utah,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intermediate Writing,WRTG,2010,,,,3,,
2,Professional Writing,WRTG,3015,1,,,3,,
3,Calculus I,MATH,1210,,,,4,,
4,Calculus II,MATH,1220,3,,,4,,
5,Intro to Computer Programming,CS,1400,,3,,3,,
6,Intro to Object Oriented Programming,CS,1410,5,4,,4,,
7,Intro to Algorithms and Data Structure,CS,2420,6,,,4,,
8,Engineering Probability and Statistics,CS,3130,4,,,3,,
9,Linear Algebra,MATH,2270,4,,,4,,
10,Physics for Science and Engineering,PHYS,2210,,,,4,,
11,Science Electicve,XX,XX,,,,3,,
12,Science Electicve,XX,XX,,,,3,,
13,Discrete Structures,CS,2100,6;3,,,3,,
14,Software Practice I,CS,3500,7,,,4,,
15,Software Practive II,CS,3505,14,,,3,,
16,Computer Organization ,CS,3810,7,,,4,,
17,Algorithms,CS,4150,13;14,,,3,,
18,Computer Systems,CS,4400,16,,,3,,
19,Models of Computation (Theory Elective),CS,3100,13,,,3,,
20,Senoir Capstone Project - Design Phase,CS,4000,15;2,,,3,,
21,Senoir Capstone Project \,CS,4500,20,,,3,,
22,Designing Human Cebtered Experinces (CS Elective),CS,3540,7,,,3,,
23,Web Software Development I (CS Elective),CS,3550,14,,,3,,
24,Parallel Programming (CS Elective),CS,4230,15;16,,,3,,
25,Compiler Principles and Techniques (CS Elective),CS,4470,19;18,,,3,,
26,Computer Networks (CS Elective),CS,4480,14,,,3,,
27,Web Browser Internals (CS Elective),CS,4560,14,,,3,,
28,Advanced Algorithms (CS Elective),CS,5150,17,,,3,,
29,American Instituations,XX,XX,,,,3,,
30,Fine Arts,XX,XX,,,,3,,
31,Fine Arts,XX,XX,,,,3,,
32,Humanities,XX,XX,,,,3,,
33,Humanities,XX,XX,,,,3,,
34,Behavioral Science,XX,XX,,,,3,,
35,Behavioral Science,XX,XX,,,,3,,
36,Elective,XX,XX,,,,3,,
37,Elective,XX,XX,,,,4,,
