Curriculum,Computer Science,,,,,,,,
Insitution,University of West Florida,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,English Composition I,ENC,1101,,,,3,,
2,English Composition II,ENC,1102,1,,,3,,
3,Analytics Geometry and Calculus I (Math Elective),MAC,2311,,,,3,,
4,Analytics Geometry and Calculus II (Math Elective),MAC,2312,3,,,3,,
5,Social Sciences,XX,XX,,,,3,,
6,Social Sciences,XX,XX,,,,3,,
7,Humanitites,XX,XX,,,,3,,
8,Humanitites,XX,XX,,,,3,,
9,Calculus Based Physics I,PHY,2048,3,4,13,3,,
10,Calculus Based Physics II,PHY,2049,4;9,,14,3,,
11,Multicultural Course,XX,XX,,,,3,,
12,Ciciv Literacy ,XX,XX,,,,3,,
13,Calculus Based Physics I Lab,PHY,2048L,,,,1,,
14,Calculus Based Physics II Lab,PHY,2049L,,,,1,,
15,Programming Using Java,COP,2253,,,,3,,
16,Science Elective,XX,XX,,,,3,,
17,Science Elective,XX,XX,,,,3,,
18,Introduction to Computer Organization,CDA,3101,19,,,3,,
19,Discrete Structures,COT,3100,15;3,,,3,,
20,Software Engineering,CEN,3031,26,,,3,,
21,Capstone Project,CIS,4592,20;25;29,,,3,,
22,Database Systems,COP,4701,15,,,3,,
23,Algorithm and Program Design,COP,3014,,,,3,,
24,Data Structures and Algorithms I,COP,3530,23,,,3,,
25,Data Structures and Algorithms II,COP,4534,24,19,,3,,
26,Intermediate Computer Programming,COP,3022,15,,,3,,
27,Advanced Computer Programming,COP,4027,26,,,3,,
28,Programming Languages,COP,4020,24;27,,,3,,
29,Systems & Networks I,COP,4634,18;24;19,,,3,,
30,Systems & Networks II,COP,4635,29;34,25,,3,,
31,Theory of Computation,COP,4420,19,,,3,,
32,Software Engineering II (Software Engineering),CEN,3032,26;20,,,3,,
33,Software Engineering Mangement (Software Engineering),CEN,4053,32,,,3,,
34,Introduction to Mathematical Statistics I,STA,4321,3;4,,,3,,
35,Free Elective,XX,XX,,,,3,,
36,Free Elective,XX,XX,,,,3,,
37,Free Elective,XX,XX,,,,3,,
38,Free Elective,XX,XX,,,,3,,
39,Free Elective,XX,XX,,,,3,,
40,Free Elective,XX,XX,,,,3,,
41,Free Elective,XX,XX,,,,4,,
