Curriculum,University_of_West_Florida_CS,,,,,,,,,
Institution,"University of West Florida",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"English Composition I","ENC","1101",,,,3,"","",3.0,1,2.0,0
2,"English Composition II","ENC","1102","1",,,3,"","",2.0,0,2.0,0
3,"Analytics Geometry and Calculus I (Math Elective)","MAC","2311",,,,3,"","",16.0,11,5.0,0
4,"Analytics Geometry and Calculus II (Math Elective)","MAC","2312","3",,,3,"","",8.0,4,4.0,11
5,"Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
6,"Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
7,"Humanitites","XX","XX",,,,3,"","",1.0,0,1.0,0
8,"Humanitites","XX","XX",,,,3,"","",1.0,0,1.0,0
9,"Calculus Based Physics I","PHY","2048","3","4","13",3,"","",5.0,1,4.0,10
10,"Calculus Based Physics II","PHY","2049","4;9",,"14",3,"","",4.0,0,4.0,0
11,"Multicultural Course","XX","XX",,,,3,"","",1.0,0,1.0,0
12,"Ciciv Literacy ","XX","XX",,,,3,"","",1.0,0,1.0,0
13,"Calculus Based Physics I Lab","PHY","2048L",,,,1,"","",5.0,2,3.0,0
14,"Calculus Based Physics II Lab","PHY","2049L",,,,1,"","",3.0,1,2.0,0
15,"Programming Using Java","COP","2253",,,,3,"","",19.0,14,5.0,0
16,"Science Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
17,"Science Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
18,"Introduction to Computer Organization","CDA","3101","19",,,3,"","",8.0,3,5.0,20
19,"Discrete Structures","COT","3100","15;3",,,3,"","",11.0,6,5.0,58
20,"Software Engineering","CEN","3031","26",,,3,"","",8.0,3,5.0,9
21,"Capstone Project","CIS","4592","29;20;25",,,3,"","",5.0,0,5.0,0
22,"Database Systems","COP","4701","15",,,3,"","",2.0,0,2.0,0
23,"Algorithm and Program Design","COP","3014",,,,3,"","",10.0,6,4.0,0
24,"Data Structures and Algorithms I","COP","3530","23",,,3,"","",9.0,5,4.0,19
25,"Data Structures and Algorithms II","COP","4534","24","19",,3,"","",6.0,2,4.0,24
26,"Intermediate Computer Programming","COP","3022","15",,,3,"","",11.0,6,5.0,17
27,"Advanced Computer Programming","COP","4027","26",,,3,"","",5.0,1,4.0,4
28,"Programming Languages","COP","4020","27;24",,,3,"","",4.0,0,4.0,0
29,"Systems & Networks I","COP","4634","18;24;19",,,3,"","",7.0,2,5.0,44
30,"Systems & Networks II","COP","4635","34;29","25",,3,"","",5.0,0,5.0,0
31,"Theory of Computation","COP","4420","19",,,3,"","",3.0,0,3.0,0
32,"Software Engineering II (Software Engineering)","CEN","3032","20;26",,,3,"","",6.0,1,5.0,9
33,"Software Engineering Mangement (Software Engineering)","CEN","4053","32",,,3,"","",5.0,0,5.0,0
34,"Introduction to Mathematical Statistics I","STA","4321","4;3",,,3,"","",5.0,1,4.0,7
35,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
40,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
41,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
