Curriculum,Computer Science,,,,,,,,
Insitution,University of Wisconsion Madison,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus and Analytic Geometry I,MATH,221,,,,5,,
2,Calculus and Analytic Geometry II,MATH,222,1,,,4,,
3,Introduction to Discrete Mathematics,COMP SCI,240,1,,,3,,
4,Introduction to Computer Engineering,COMP SCI,252,,,,3,,
5,Programming I,COMP SCI,200,,,,3,,
6,Programming II,COMP SCI,300,5,,,3,,
7,Machine Organization and Programming,COMP SCI,354,4;6,,,3,,
8,Programming III,COMP SCI,400,6,,,3,,
9,Elemtary Matrix and Linear Algebra (Math Elective),MATH,340,2,,,3,,
10,Introductory Applied Statistics for Engineering (Math Elective),STAT,324,1,,,3,,
11,Introduction to Algorithms (CS Theory Elective),COMP SCI,577,3,,,4,,
12,Introduction to Programming Languages and Compliers (Software & Hardware Elective),COMP SCI,536,7;8,,,3,,
13,Software Engineering (Software & Hardware Elective),COMP SCI,506,8;12,,,3,,
14,Introduction to Numerical Methods (Applications Elective),COMP SCI,412,2;3;5,,,3,,
15,Introduction to Artificial Intelligence (CS Elective),COMP SCI,539,5,,,3,,
16,Natural Language and Computing (CS Elective),COMP SCI,545,12,,,3,,
17,Forgin Language,XX,XX,,,,3,,
18,Forgin Language,XX,XX,17,,,3,,
19,Forgin Language,XX,XX,18,,,3,,
20,(Humanites),XX,XX,,,,3,,
21,(Humanites),XX,XX,,,,3,,
22,(Literature),XX,XX,,,,3,,
23,(Literature),XX,XX,,,,3,,
24,Social Science,XX,XX,,,,3,,
25,Social Science,XX,XX,,,,3,,
26,Social Science,XX,XX,,,,3,,
27,Social Science,XX,XX,,,,3,,
28,Natural Science,XX,XX,,,,3,,
29,Natural Science,XX,XX,,,,3,,
30,Natural Science,XX,XX,,,,3,,
31,Natural Science,XX,XX,,,,3,,
32,Elective,XX,XX,,,,3,,
33,Elective,XX,XX,,,,3,,
34,Elective,XX,XX,,,,3,,
35,Elective,XX,XX,,,,3,,
36,Elective,XX,XX,,,,3,,
37,Elective,XX,XX,,,,4,,
38,Elective,XX,XX,,,,4,,
