Curriculum,University of Wisconsin - Milwaukee,,,,,,,,,
Institution,"University of Wisconsin - Milwaukee",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Intro Computer Programming","COMPSCI ","250",,,,3,"","",18.0,14,4.0,0
2,"Intermediate Computer Programming","COMPSCI ","251","1",,,3,"","",14.0,10,4.0,31
3,"Discrete Info Sci","COMPSCI ","317","1",,,3,"","",6.0,3,3.0,9
4,"System Programming","COMPSCI ","337","2",,,3,"","",3.0,0,3.0,0
5,"Into to SE","COMPSCI","361","6",,,3,"","",4.0,0,4.0,0
6,"Data Structures and Algorithms","COMPSCI","351","2",,,3,"","",10.0,6,4.0,24
7,"Ethics","COMPSCI","395",,,,3,"","",1.0,0,1.0,0
8,"Programming Lang Concepts","COMPSCI","431","6",,,3,"","",4.0,0,4.0,0
9,"Computer Architecture","COMPSCI","458","2",,,3,"","",5.0,1,4.0,4
10,"Algorithm Design ","COMPSCI","535","6;18;3",,,3,"","",4.0,0,4.0,0
11,"Intro to Operating Systems","COMPSCI","537","9",,,3,"","",4.0,0,4.0,0
12,"Capstone","COMPSCI","594","6",,,1,"","",4.0,0,4.0,0
13,"Capstone","COMPSCI","594","6",,,3,"","",4.0,0,4.0,0
14,"Seminar","EAS","200",,,,1,"","",1.0,0,1.0,0
15,"Tech elective","COMPSCI","422","6;3",,,3,"","",4.0,0,4.0,0
16,"Tech elective","COMPSCI","425","22;1",,,3,"","",3.0,0,3.0,0
17,"Tech elective","COMPSCI","469","3;1",,,3,"","",3.0,0,3.0,0
18,"Calculus","MATH","231",,,,4,"","",7.0,4,3.0,0
19,"Nat sci","CHEM","104",,,,3,"","",1.0,0,1.0,0
20,"Nat sci 2","GEO SCI","120",,,,3,"","",1.0,0,1.0,0
21,"Math Tech","MATH","205",,,,3,"","",1.0,0,1.0,0
22,"Math Tech","MATH","232","18",,,3,"","",4.0,1,3.0,3
23,"Math Tech","MATH","240","18",,,3,"","",2.0,0,2.0,0
24,"Free Elective","Elective","1",,,,3,"","",1.0,0,1.0,0
25,"Free Elective","Elective","2",,,,3,"","",1.0,0,1.0,0
26,"Free Elective","Elective","3",,,,3,"","",1.0,0,1.0,0
27,"Free Elective","Elective","4",,,,3,"","",1.0,0,1.0,0
28,"Free Elective","Elective","5",,,,3,"","",1.0,0,1.0,0
29,"Free Elective","Elective","6",,,,3,"","",1.0,0,1.0,0
30,"Free Elective","Elective","7",,,,3,"","",1.0,0,1.0,0
31,"Free Elective","Elective","8",,,,3,"","",1.0,0,1.0,0
32,"Free Elective","Elective","9",,,,3,"","",1.0,0,1.0,0
33,"Free Elective","Elective","10",,,,3,"","",1.0,0,1.0,0
34,"Free Elective","Elective","11",,,,3,"","",1.0,0,1.0,0
35,"Free Elective","Elective","12",,,,3,"","",1.0,0,1.0,0
36,"Free Elective","Elective","13",,,,3,"","",1.0,0,1.0,0
37,"Arts","art","1",,,,3,"","",1.0,0,1.0,0
38,"Humanities","hum","1",,,,3,"","",1.0,0,1.0,0
39,"Social Science","ss","1",,,,3,"","",1.0,0,1.0,0
40,"Writing,Speaking, and Technoscience","ENGLISH","310",,,,3,"","",1.0,0,1.0,0
41,"Cultural Div","culture","1",,,,3,"","",1.0,0,1.0,0
