Curriculum,Computer Science,,,,,,,,
Insitution,West Virginia University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Comp and Rhetoric,ENGL,101,,,,3,,
2,"Comp, Rhetoric, and Research",ENGL,102,1,,,3,,
3,Seminar 1st Year,ENGR,191,,,,1,,
4,Engineering Problem Solving,ENGR,101,,5,,2,,
5,Calc I,MATH,155,,,,4,,
6,Calc II,MATH,156,5,,,4,,
7,Multivariable Calc,MATH,251,6,,,4,,
8,Intro to Prob and Stats,STAT,215,6,,,3,,
9,Planet Earth,GEOL,101,,,,3,,
10,Planet Earth Lab,GEOL,101L,,9,,1,,
11,Earth Through Time,GEOL,103,9,,,3,,
12,Earth Through Time Lab,GEOL,103L,,11,,1,,
13,Biology,BIO,115,,,,3,,
14,Biology Lab,BIO,115L,,13,,1,,
15,Group Communication,COMM,113,,,,3,,
16,Technical Writing,ENGL,305,1;2,,,3,,
17,Intro to Digital Logic Design,CPE,271,6,,,3,,
18,Intro to Digital Logic Lab,CPE,272,,,17,1,,
19,Computer Architecture,CS,455,17,,,3,,
20,Intro to CS,CS,110,,,,4,,
21,Intro to DS,CS,111,20,,,4,,
22,Files and DS,CS,210,21,,,4,,
23,Discrete Math,CS,220,5;20,,,3,,
24,Intro to SE,CS,230,21,,,4,,
25,Principles of Programming Languages,CS,310,21,,,3,,
26,Algorithms,CS,320,21;23;6,,,3,,
27,Computer Systems Concepts,CS,350,21,,,3,,
28,Compiler Construction,CS,410,25,,,3,,
29,Operating Systems Structure,CS,450,27,,,4,,
30,Data and Computer Communication,CS,453,27,,,3,,
31,Engineering Seminar,CSEE,380,,,,1,,
32,Capstone I,CSEE,480,2;31,,,2,,
33,Capstone II,CSEE,481,32,,,3,,
34,Advanced SE,CS,430,24,,,3,,
35,Databases,CS,440,24,,,3,,
36,Computer Graphics,CS,470,22,,,3,,
37,Artificial Intelligence,CS,472,24,,,3,,
38,Game Development,CS,475,23;25,,,3,,
39,GEF 5,GEF,105,,,,3,,
40,GEF 6,GEF,106,,,,3,,
41,GEF 7,GEF,107,,,,3,,
42,Elective,ELECTIVE,101,,,,3,,
43,Elective,ELECTIVE,102,,,,3,,
44,Extra GEF,GEF,108,,,,3,,
